Year	Race name	Rider status	Winner	Team/Country
1945	Victory Marathon	amateur	Robert Batot	France
1946	Brighton-Glasgow	am-ind	Mike Peers	Manchester
1947	Brighton-Glasgow	am-ind	George Kessock	Paris Cycles
1948	Brighton-Glasgow	am-ind	Tom Saunders	Dayton Cycles
1949	Brighton-Glasgow	am-ind	Geoff Clark	ITP
1950	Brighton-Glasgow	am-ind	George Lander	Fréjus Cycles
1951	Butlin Tour	amateur	Stan Blair	England
1951	Brighton-Glasgow	amateur	Ian Greenfield	Comet CC
1951	Tour of Britain	am-ind	Ian Steel	Viking Cycles
1952	Brighton-Glasgow	amateur	Bill Bellamy	Romford CC
1952	Tour of Britain	am-pro	Ken Russell	Ellis Briggs
1953	Brighton-Newcastle	amateur	Frank Edwards	Norfolk Olympic
1953	Tour of Britain	am-ind	Gordon Thomas	BSA Cycles
1954	Circuit of Britain	amateur	Viv Bailes	Teesside
1954	Tour of Britain	am-ind	Eugène Tambourlini	France
1955	Circuit of Britain	amateur	Des Robinson	Yorkshire
1955	Tour of Britain	am-ind	Tony Hewson	Sheffield
1956	Circuit of Britain	amateur	Dick McNeil	North-east
1958	Milk Race	am-ind	Richard Durlacher	Austria
1959	Milk Race	am-ind	Bill Bradley	England
1960	Milk Race	amateur	Bill Bradley	England
1961	Milk Race	amateur	Billy Holmes	England
1962	Milk Race	amateur	Eugen Pokorny	Poland
1963	Milk Race	amateur	Pete Chisman	England
1964	Milk Race	amateur	Arthur Metcalfe	England
1965	Milk Race	amateur	Les West	Midlands
1966	Milk Race	amateur	Józef Gawliczek	Poland
1967	Milk Race	amateur	Les West	Britain
1968	Milk Race	amateur	Gösta Pettersson	Sweden
1969	Milk Race	amateur	Fedor den Hertog	Netherlands
1970	Milk Race	amateur	Jiri Manus	Czechoslovakia
1971	Milk Race	amateur	Fedor den Hertog	Netherlands
1972	Milk Race	amateur	Hennie Kuiper	Netherlands
1973	Milk Race	amateur	Piet van Katwijk	Netherlands
1974	Milk Race	amateur	Roy Schuiten	Netherlands
1975	Milk Race	amateur	Bernt Johansson	Sweden
1976	Milk Race	amateur	Bill Nickson	Britain
1977	Milk Race	amateur	Said Gusseinov	USSR
1978	Milk Race	amateur	Jan Brzeźny	Poland
1979	Milk Race	amateur	Yuri Kashirin	USSR
1980	Milk Race	amateur	Ivan Mitchenko	USSR
1981	Milk Race	amateur	Sergei Krivosheev	USSR
1982	Milk Race	amateur	Yuri Kashirin	USSR
1983	Milk Race	amateur	Matt Eaton	USA
1984	Milk Race	amateur	Oleg Czougeda	USSR
1985	Milk Race	pro-am	Eric van Lancker	Fangio
1986	Milk Race	pro-am	Joey McLoughlin	ANC
1987	Milk Race	pro-am	Malcolm Elliott	ANC
1987	Kellogg's Tour	pro	Joey McLoughlin	ANC
1988	Milk Race	pro-am	Vasily Zhdanov	USSR
1988	Kellogg's Tour	pro	Malcolm Elliott	Fagor
1989	Milk Race	pro-am	Brian Walton	7-Eleven
1989	Kellogg's Tour	pro	Robert Millar	Z-Peugeot
1990	Milk Race	pro-am	Shane Sutton	Banana
1990	Kellogg's Tour	pro	Michel Dernies	Weinnmann-SMM
1991	Milk Race	pro-am	Chris Walker	Banana
1991	Kellogg's Tour	pro	Phil Anderson	Motorola
1992	Milk Race	pro-am	Conor Henry	Ireland
1992	Kellogg's Tour	pro	Max Sciandri	Motorola
1993	Milk Race	pro-am	Chris Lillywhite	Banana
1993	Kellogg's Tour	pro	Phil Anderson	Motorola
1994	Kellogg's Tour	pro	Maurizio Fondriest	Lampre
1998	PruTour	pro	Stuart O'Grady	Crédit Agricole
1999	PruTour	pro	Marc Wauters	Rabobank
