Name	Circuit	Date	Winning driver	Winning constructor	Report
Nice Grand Prix	Nice	22 April	Luigi Villoresi	Maserati	Report
Marseille Grand Prix	Prado	12 May	Raymond Sommer	Maserati	Report
Forez Grand Prix	St Just-Andrezieux	19 May	Raymond Sommer	Maserati	Report
Paris Cup	Bois de Boulogne	30 May	Jean-Pierre Wimille	Alfa Romeo	Report
Grand Prix des Frontières	Chimay	9 June	Leslie Brooke	ERA	Report
Gransden Lodge	Gransden Lodge Airfield	15 June	George Abecassis	Bugatti	Report
Roussillon Grand Prix	Perpignan	30 June	Jean-Pierre Wimille	Alfa Romeo	Report
Burgundy Grand Prix	Dijon	7 July	Jean-Pierre Wimille	Alfa Romeo	Report
Albi Grand Prix	Albi	14 July	Tazio Nuvolari	Maserati	Report
Nantes Grand Prix	Nantes	28 July	"Raph"	Maserati	Report
Ulster Trophy	Ballyclare	10 August	Prince Bira	ERA	Report
Circuit des Trois Villes	Lille	25 August	Raymond Sommer	Maserati	Report
Circuit des Trois Villes	Lille	25 August	Henri Louveau	Maserati	Report
Milan Grand Prix	Sempione Park	29 September	Carlo Felice Trossi	Alfa Romeo	Report
Coupe du Salon	Bois de Boulogne	6 October	Raymond Sommer	Maserati	Report
Gávea Circuit Race	Gávea	6 October	Chico Landi	Alfa Romeo	Report
Penya Rhin Grand Prix	Pedralbes	27 October	Giorgio Pelassa	Maserati	Report
Boa Vista Grand Prix	Rio de Janeiro	15 December	Chico Landi	Alfa Romeo	Report
