Date	Opponent	Score	Loss	Record
May 1	@ Nationals	3–2	Grabow (1–1)	11–17
May 2	@ Nationals	11–4	Lannan (2–3)	12–17
May 3	@ Nationals	9–8	Maholm (2–3)	12–18
May 4	@ Nationals	5–2	Snell (2–2)	12–19
May 6	Giants	12–6	Sánchez (2–2)	13–19
May 7	Giants	3–1	Zito (0–7)	14–19
May 8	Giants	5–4	Cain (1–3)	15–19
May 9	Braves	3–2	Bennett (0–2)	16–19
May 10	Braves	5–2	James (2–2)	17–19
May 11	Braves	Postponed (rain) Rescheduled for May 12	Postponed (rain) Rescheduled for May 12	Postponed (rain) Rescheduled for May 12
May 12	Braves	5–0	Jurrjens (4–3)	18–19
May 12	Braves	8–1	Van Benschoten (0–1)	18–20
May 13	@ Cardinals	8 – 4 (10)	Villone (1–1)	19–20
May 14	@ Cardinals	5–1	Maholm (2–4)	19–21
May 15	@ Cardinals	11–5	Isringhausen (1–5)	20–21
May 16	@ Cubs	7–4	Gorzelanny (3–4)	20–22
May 17	@ Cubs	7–6	Mármol (1–1)	21–22
May 18	@ Cubs	4–3	Dumatrait (1–2)	21–23
May 20	Brewers	7–2	Maholm (2–5)	21–24
May 21	Brewers	4–1	Snell (2–3)	21–25
May 22	Brewers	8–4	Bush (1–5)	22–25
May 23	Cubs	12–3	Duke (2–3)	22–26
May 24	Cubs	5 – 4 (14)	Wuertz (0–1)	23–26
May 25	Cubs	6 – 5 (11)	Lieber (2–3)	24–26
May 27	@ Reds	9–6	Snell (2–4)	24–27
May 28	@ Reds	9–1	Gorzelanny (4–5)	24–28
May 29	@ Reds	7–2	Harang (2–7)	25–28
May 30	@ Cardinals	5–4	Duke (2–4)	25–29
May 31	@ Cardinals	14–4	Parisi (0–2)	26–29
