Res.	Record	Opponent	Method	Round	Time	Location
Win	15–4	Andrei Arlovski	Decision (unanimous)	3	5:00	Atlantic City, New Jersey United States
Win	14–4	D.J. Linderman	KO (punch)	1	3:58	Las Vegas, Nevada , United States
Win	13–4	Jake Rosholt	TKO (head kick)	2	4:22	Tulsa, Oklahoma , United States
Win	12–4	Esteves Jones	TKO (punches)	2	0:51	Kansas City, Kansas , United States
Win	11–4	David Branch	Decision (unanimous)	3	5:00	Kansas City, Kansas , United States
Loss	10–4	Vitor Belfort	Submission (rear naked choke)	1	4:49	Rio de Janeiro , Brazil
Win	10–3	Charlie Brenneman	TKO (head kick)	1	2:49	Washington, D.C. , United States
Win	9–3	Dan Hardy	Decision (unanimous)	3	5:00	Seattle , Washington, United States
Loss	8–3	Josh Koscheck	Submission (rear naked choke)	2	4:47	Las Vegas, Nevada , United States
Win	8–2	Yoshiyuki Yoshida	KO (punch)	1	0:41	Los Angeles , California, United States
Win	7–2	Luigi Fioravanti	TKO (punches)	1	4:39	Tampa, Florida , United States
Win	6–2	Kevin Burns	KO (head kick)	3	0:28	Las Vegas, Nevada , United States
Loss	5–2	Kevin Burns	TKO (eye poke)	3	3:35	Las Vegas, Nevada , United States
Win	5–1	Tom Speer	KO (punches)	1	0:51	Broomfield, Colorado , United States
Loss	4–1	Rich Clementi	Submission (rear naked choke)	2	3:05	Anaheim, California , United States
Win	4–0	Chad Reiner	KO (punches)	1	0:13	Hollywood, Florida , United States
Win	3–0	Keith Wilson	Decision (majority)	2	5:00	Denver, Colorado , United States
Win	2–0	Rich Moskowitz	Decision (unanimous)	2	5:00	Denver, Colorado , United States
Win	1–0	Jonathan Romero	TKO (punches)	1	1:09	Hollywood, California , United States
