Round	Pick	Player	Position	School
1	12	Herb Adderley	Cornerback	Michigan State
2	26	Ron Kostelnik	Defensive Tackle	Cincinnati
3	40	Phil Nugent	Back	Tulane
4	54	Paul Dudley	Back	Arkansas
4	56	Joe LeSage	Guard	Tulane
5	68	Jack Novak	Guard	Miami (FL)
6	82	Lee Folkins	Tight End	Washington
7	96	Lewis Johnson	Back	Florida A&M
9	124	Vester Flanagan	Tackle	Humboldt State
10	138	Buck McLeod	Tackle	Baylor
11	152	Val Keckin	Back	Southern Miss
12	166	John Denvir	Tackle	Colorado
13	180	Elijah Pitts	Halfback	Philander Smith
14	194	Nelson Toburen	Linebacker	Wichita State
15	208	Ray Lardani	Tackle	Miami (FL)
16	222	Clarence Mason	End	Bowling Green
17	236	Jim Brewington	Tackle	North Carolina Central
18	250	Arthur Sims	Back	Texas A&M
19	264	Leland Bondhus	Tackle	South Dakota State
20	278	Ray Ratkowski	Back	Notre Dame
