Date	Location	Opponent	Cards Points	Opp. Points	Record
Nov. 15/08	Cookeville, TN	Tennessee Tech	82	49	1-0
Nov. 17/08	KICC	Austin Peay	72	42	2-0
Nov. 22/08	Cintas Center	Xavier	65	55	3-0
Nov. 25/08	Huntsman Center (Salt Lake City)	Utah	59	48	4-0
Nov. 28/08	Lawlor Events Ctr. (Reno)	Alabama	73	56	5-0
Nov. 29/08	Lawlor Events Ctr. (Reno)	Nevada	82	85	5-1
Dec. 4/08	Murfreesboro, Tennessee	Middle Tennessee	67	44	6-1
Dec. 7/08	Freedom Hall	Ball State	82	51	7-1
Dec. 10/08	Freedom Hall	Hartford	70	42	8-1
Dec. 14/08	Freedom Hall	Kentucky	75	59	9-1
Dec. 21/08	Freedom Hall	Vermont	67	56	10-1
Dec. 28/08	Freedom Hall	Morehead State	66	38	11-1
Dec. 29/08	Freedom Hall	Central Michigan	95	72	12-1
Dec. 30/09	Freedom Hall	New Hampshire	82	40	13-1
Jan. 3/09	Freedom Hall	DePaul	78	60	14-1
Jan. 6/09	Freedom Hall	Seton Hall	76	47	15-1
Jan. 11/09	Freedom Hall	Rutgers	64	59	16-1
Jan. 14/09	USF Sun Dome (Tampa)	South Florida	76	60	17-1
Jan. 17/09	Washington, D.C.	Georgetown	74	58	18-1
Jan. 20/09	Freedom Hall	Cincinnati	66	50	19-1
Jan. 26/09	Gempel Pavilion	Connecticut	65	93	19-2
