Name	Years	A-League	Finals	Total
Archie Thompson	2005/06 -	149 (5)	11 (2)	170 (9)
Adrian Leijer	2006/07 - 2007/08, 2009/10 -	133 (1)	9 (0)	153 (1)
Rodrigo Vargas	2006/07 -2011/2012	129 (1)	10 (0)	153 (1)
Leigh Broxham	2006/2007 -	124 (37)	6 (1)	143 (39)
Kevin Muscat	2005/06 - 2010/2011	113 (0)	9 (0)	138 (0)
Carlos Hernández	2007/08 - 2011/2012	114 (11)	7 (1)	134 (16)
Danny Allsopp	2005/06 - 2009, 2009/2010 -	111 (17)	7 (0)	129 (17)
Grant Brebner	2006/07 - 2011/2012	110 (22)	9 (3)	126 (25)
Billy Celeski	2009/10 - 2012/13	86 (12)	6 (1)	101 (16)
Matthew Kemp	2006/07 - 2011/2012	76 (7)	3 (0)	89 (7)
