Date	Opponent	Score	Loss	Attendance	Record
August 1	New York Yankees	2-5	Moyer (8-8)	53,840	48-61
August 2	New York Yankees	6-3	Cone (15-4)	47,872	49-61
August 3	Boston Red Sox	3-1	Wasdin (5-4)	27,887	50-61
August 4	Boston Red Sox	1-2	McCarthy (0-2)	29,621	50-62
August 7	@ Detroit Tigers	6-3	Crow (1-1)	DH	51-62
August 7	@ Detroit Tigers	7-1	Moehler (12-8)	29,039	52-62
August 8	@ Detroit Tigers	9-3	Powell (2-3)	37,495	53-62
August 9	@ Detroit Tigers	6-3	Runyan (1-3)	27,987	54-62
August 11	@ Toronto Blue Jays	4-7	Fassero (10-8)	33,137	54-63
August 12	@ Toronto Blue Jays	5-11	Ayala (1-8)	39,139	54-64
August 14	@ Chicago White Sox	2-14	Cloude (7-8)	22,713	54-65
August 15	@ Chicago White Sox	13-7	Navarro (8-14)	21,537	55-65
August 16	@ Chicago White Sox	3-5	Fassero (10-9)	25,471	55-66
August 17	Detroit Tigers	3-1	Moehler (12-9)	38,639	56-66
August 18	Detroit Tigers	6-7	Ayala (1-9)	24,136	56-67
August 19	Toronto Blue Jays	2-16	Cloude (7-9)	26,258	56-68
August 20	Toronto Blue Jays	0-7	Swift (10-7)	26,642	56-69
August 21	Chicago White Sox	5-4	Foulke (3-2)	34,421	57-69
August 22	Chicago White Sox	5-4	Navarro (8-15)	43,596	58-69
August 23	Chicago White Sox	3-2	Snyder (4-2)	35,159	59-69
August 24	Chicago White Sox	11-10	Sirotka (12-12)	27,087	60-69
August 25	@ Cleveland Indians	4-10	Swift (10-8)	43,113	60-70
August 26	@ Cleveland Indians	3-5	Fassero (10-10)	43,091	60-71
August 27	@ Cleveland Indians	10-4	Wright (11-8)	43,142	61-71
August 28	@ New York Yankees	3-10	Spoljaric (4-3)	49,789	61-72
August 29	@ New York Yankees	6-11	Cloude (8-10)	55,146	61-73
August 30	@ New York Yankees	13-3	Irabu (11-7)	55,341	62-73
August 31	@ Boston Red Sox	1-5	Fassero (10-11)	28,553	62-74
