Date	Visitor	Score	Home	Leading scorer	Attendance	Record
January 4	Seattle	116-85	Cleveland	Hot Rod Williams , 17 points	Gund Arena 20,562	20-9
January 6	New York	103-93	Cleveland	Tyrone Hill , 26 points	Gund Arena 20,562	20-10
January 7	Chicago	78-92	Cleveland	Terrell Brandon , 24 points	Gund Arena 20,562	21-10
January 10	Charlotte	116-108	Cleveland	Tyrone Hill , 23 points	Gund Arena 20,562	21-11
January 12	Cleveland	107-96	Phoenix	Terrell Brandon , 30 points	America West Arena 19,023	22-11
January 14	Cleveland	103-97	Golden State	Tyrone Hill , 20 points	Oakland-Alameda County Coliseum Arena 15,025	23-11
January 17	Cleveland	91-115	Seattle	Terrell Brandon , 20 points	Tacoma Dome 12,914	23-12
January 18	Cleveland	83-92	LA Clippers	Chris Mills , 19 points	Los Angeles Memorial Sports Arena 6,695	23-13
January 20	Cleveland	84-94	Utah	Terrell Brandon , 24 points	Delta Center 19,911	23-14
January 21	Cleveland	101-100	Denver	Chris Mills , 20 points	McNichols Sports Arena 17,171	24-14
January 23	LA Clippers	68-90	Cleveland	Tyrone Hill , 23 points	Gund Arena 20,187	25-14
January 26	Cleveland	77-68	Atlanta	2 way tie, 14 points	The Omni 10,760	26-14
January 27	Portland	87-77	Cleveland	Hot Rod Williams , 14 points	Gund Arena 20,562	26-15
January 30	Phoenix	89-82	Cleveland	Terrell Brandon , 20 points	Gund Arena 20,562	26-16
