Rank	Artist	Album	Peak position	Sales	Certification
1	Nickelback	Dark Horse	1	480,000	6x Platinum
2	Simple Plan	Simple Plan	2	200,000	Platinum
3	Celine Dion	My Love: Essential Collection	2	160,000	2x Platinum
4	The Canadian Tenors	The Canadian Tenors	22	80,000	Platinum
5	City and Colour	Bring Me Your Love	3	80,000	Platinum
6	Cœur de pirate	Cœur de pirate	N/A	80,000	Platinum
7	Sarah McLachlan	Closer: The Best of Sarah McLachlan	3	80,000	Platinum
8	Theory of a Deadman	Scars & Souvenirs	2	80,000	Platinum
9	Sam Roberts	Love at the End of the World	1	50,000	Gold
10	Tara Oram	Chasing the Sun	8	50,000	Gold
