Edition	Round	Date	Partnering	Against	Surface	Opponents	Result
2002 Fed Cup Europe/Africa Group I	RR	26 April 2002	Angela Cardoso	Georgia	Clay	Margalita Chakhnashvili Salome Devidze	4–6, 3–6
2003 Fed Cup Europe/Africa Group II	RR	29 April–1 May 2003	Ana Catarina Nogueira	Norway	Clay	Karoline Borgersen Ina Sartz	6–0, 6–2
2003 Fed Cup Europe/Africa Group II	RR	29 April–1 May 2003	Frederica Piedade	Turkey	Clay	Pemra Özgen İpek Şenoğlu	6–3, 2–6, 6–2
2005 Fed Cup Europe/Africa Group III	RR	29 April 2005	Ana Catarina Nogueira	Kenya	Clay	Caroline Oduor Tamara Orwa	6–0, 6–0
2005 Fed Cup Europe/Africa Group III	GIII Play-offs	30 April 2005	Ana Catarina Nogueira	Bosnia and Herzegovina	Clay	Selma Babic Sanja Racic	6–1, 6–3
2006 Fed Cup Europe/Africa Group II	RR	26–28 April 2006	Ana Catarina Nogueira	Poland	Clay	Klaudia Jans Alicja Rosolska	2–6, 2–6
2006 Fed Cup Europe/Africa Group II	RR	26–28 April 2006	Ana Catarina Nogueira	Latvia	Clay	Anastasija Sevastova Alise Vaidere	6–3, 4–6, 6–2
2006 Fed Cup Europe/Africa Group II	RR	26–28 April 2006	Ana Catarina Nogueira	Greece	Clay	Anna Gerasimou Anna Koumantou	6–2, 3–6, 6–4
2009 Fed Cup Europe/Africa Group II	RR	22–24 April 2009	Frederica Piedade	Morocco	Hard	Fatima El Allami Nadia Lalami	6–0, 6–1
2009 Fed Cup Europe/Africa Group II	RR	22–24 April 2009	Frederica Piedade	Latvia	Hard	Līga Dekmeijere Anastasija Sevastova	1–6, 1–6
2010 Fed Cup Europe/Africa Group I	RR	4–5 February 2010	Michelle Larcher de Brito	Croatia	Hard	Jelena Kostanić Tošić Silvia Njirić	7–5, 6–4
2010 Fed Cup Europe/Africa Group I	RR	4–5 February 2010	Maria João Koehler	Romania	Hard	Irina-Camelia Begu Ioana Raluca Olaru	7–5, 7–5
