Game	December	Opponent	Score	Record
22	2	Toronto Maple Leafs	4 - 2	7-10-5
23	5	Chicago Black Hawks	2 - 2	7-10-6
24	8	@ Toronto Maple Leafs	0 - 0	7-10-7
25	9	Detroit Red Wings	4 - 2	8-10-7
26	13	@ Detroit Red Wings	2 - 1	8-11-7
27	15	@ Toronto Maple Leafs	2 - 1	8-12-7
28	16	Montreal Canadiens	4 - 2	9-12-7
29	21	@ Chicago Black Hawks	3 - 2	10-12-7
30	23	Toronto Maple Leafs	3 - 1	10-13-7
31	25	@ Detroit Red Wings	8 - 1	10-14-7
32	27	Chicago Black Hawks	3 - 2	11-14-7
33	29	@ Montreal Canadiens	6 - 3	11-15-7
34	31	Detroit Red Wings	1 - 0	11-16-7
