Game #	Date	Visitor	Score	Home	Record	Points
65	March 1	Los Angeles	5 - 4	Buffalo	33-26-6	72
66	March 2	Los Angeles	4 - 6	St. Louis	33-27-6	72
67	March 4	Philadelphia	6 - 2	Los Angeles	34-27-6	74
68	March 7	Pittsburgh	3 - 2	Los Angeles	35-27-6	76
69	March 10	Los Angeles	2 - 4	Vancouver	35-28-6	76
70	March 12	Los Angeles	6 - 3	Edmonton	36-28-6	78
71	March 14	Los Angeles	4 - 0	Quebec	37-28-6	80
72	March 15	Los Angeles	2 - 5	Montreal	37-29-6	80
73	March 18	Calgary	3 - 9	Los Angeles	37-30-6	80
74	March 21	Los Angeles	4 - 3	Edmonton	38-30-6	82
75	March 23	Los Angeles	2 - 4	Calgary	38-31-6	82
76	March 25	Edmonton	4 - 2	Los Angeles	39-31-6	84
77	March 28	Winnipeg	3 - 3	Los Angeles	39-31-7	85
78	March 29	Winnipeg	2 - 1	Los Angeles	40-31-7	87
