Region	Employment ( salaries & wages)	Self employed	Investment income	Working tax credit	State pensions	Occupational pensions	Disability benefits	Other social security benefits	Other income sources
UK	64%	11%	2%	1%	6%	7%	2%	5%	2%
Northern Ireland	60%	11%	1%	2%	7%	5%	4%	7%	3%
Scotland	66%	7%	2%	2%	7%	7%	3%	5%	2%
Wales	60%	8%	2%	2%	8%	8%	4%	6%	1%
England	64%	11%	2%	1%	6%	7%	2%	5%	2%
North East England	64%	5%	2%	2%	8%	6%	4%	7%	2%
North West England	59%	13%	2%	2%	7%	7%	3%	6%	2%
Yorkshire	64%	7%	2%	2%	7%	7%	2%	5%	3%
East Midlands	65%	9%	2%	1%	7%	6%	2%	5%	3%
West Midlands	62%	8%	3%	2%	8%	6%	2%	5%	3%
Eastern England	56%	22%	2%	1%	5%	7%	1%	3%	2%
London	71%	10%	2%	1%	4%	4%	1%	5%	3%
South East	66%	9%	4%	1%	7%	8%	1%	4%	2%
South West England	60%	9%	4%	1%	7%	10%	2%	4%	2%
