Name	Position	Country	Years	Games	Minutes	Goals	Assists	Int. caps	Int. goals
Freddy Adu Category:Articles with hCards	MF	USA	2011 – 13	35	2077	7	2	17	2
Chris Albright Category:Articles with hCards	DF	USA	2012 –	10	250	0	0	22	1
Don Anding Category:Articles with hCards	DF	USA	2013 –	1	30	0	0	0	0
Cristian Arrieta Category:Articles with hCards	DF	Puerto Rico	2010	16	1343	0	0	21	5
Danny Califf Category:Articles with hCards	DF	USA	2010 – 12	65	5894	1	1	23	1
Brian Carroll Category:Articles with hCards	MF	USA	2011 –	96	8438	4	2	8	0
Conor Casey Category:Articles with hCards	FW	USA	2013 –	31	2201	10	5	19	2
Eduardo Coudet Category:Articles with hCards	MF	Argentina	2010	9	631	0	0	0	0
Danny Cruz Category:Articles with hCards	MF	USA	2012 –	44	3090	4	3	0	0
Keon Daniel Category:Articles with hCards	MF	Trinidad	2011 –	64	4126	2	4	58	14
Fabinho	DF	Brazil	2013 –	14	980	1	2	0	0
Gabriel Farfan Category:Articles with hCards	MF	USA	2011 – 13	51	3882	1	3	0	0
Michael Farfan Category:Articles with hCards	MF	USA	2011 –	82	6253	4	9	0	0
Leo Fernandes Category:Articles with hCards	MF	USA	2013 –	7	281	0	0	0	0
Fred	MF	Brazil	2010	25	1913	4	1	0	0
Ray Gaddis Category:Articles with hCards	DF	USA	2012 –	49	4178	0	1	0	0
Gabriel Gómez Category:Articles with hCards	MF	Panama	2012	24	1578	6	0	85	9
Juan Diego González Category:Articles with hCards	DF	Colombia	2010 – 11	7	630	0	0	0	0
Jordan Harvey Category:Articles with hCards	DF	USA	2010 – 11	46	3861	1	2	0	0
Kai Herdling Category:Articles with hCards	MF	Germany	2012	4	212	0	0	0	0
Cristhian Hernández Category:Articles with hCards	FW	Mexico	2012 –	2	26	0	0	0	0
Chandler Hoffman Category:Articles with hCards	FW	USA	2012	7	204	0	0	0	0
Antoine Hoppenot Category:Articles with hCards	FW	USA	2012 –	55	1548	7	3	0	0
Andrew Jacobson Category:Articles with hCards	MF	USA	2010	25	1294	0	0	0	0
Matt Kassel Category:Articles with hCards	MF	USA	2013 –	5	90	0	0	0	0
Kléberson	MF	Brazil	2013 –	11	532	1	2	32	2
Michael Lahoud Category:Articles with hCards	MF	Sierra Leone	2012 –	31	1551	0	0	1	0
Morgan Langley Category:Articles with hCards	MF	USA	2011	1	10	0	0	0	0
Sébastien Le Toux Category:Articles with hCards	FW	France	2010 – 11 , 2013 –	94	7802	28	32	0	0
Porfirio López Category:Articles with hCards	DF	Costa Rica	2012	5	327	0	0	5	0
Josué Martínez Category:Articles with hCards	FW	Costa Rica	2012	18	594	1	0	16	2
Justin Mapp Category:Articles with hCards	MF	USA	2010 – 11	44	2716	4	8	8	0
Jack McInerney Category:Articles with hCards	FW	USA	2010 –	91	4747	24	3	0	0
Jimmy McLaughlin Category:Articles with hCards	MF	USA	2012 –	1	17	0	0	0	0
Stefani Miglioranzi Category:Articles with hCards	MF	Brazil	2010 – 11	43	3077	0	0	0	0
Alejandro Moreno Category:Articles with hCards	FW	Venezuela	2010	26	1974	2	7	41	3
Danny Mwanga Category:Articles with hCards	FW	DR Congo	2010 – 12	61	3454	12	9	0	0
David Myrie Category:Articles with hCards	DF	Costa Rica	2010	1	78	0	0	10	0
Kyle Nakazawa Category:Articles with hCards	MF	USA	2010 – 11	36	2006	1	2	0	0
Amobi Okugo Category:Articles with hCards	MF	USA	2010 –	85	6357	3	4	0	0
Lionard Pajoy Category:Articles with hCards	FW	Colombia	2012	20	1489	5	2	0	0
Jeff Parke Category:Articles with hCards	DF	USA	2013 –	31	2744	0	1	1	0
Veljko Paunović Category:Articles with hCards	FW	Serbia	2011	17	1236	3	3	2	1
Zach Pfeffer Category:Articles with hCards	MF	USA	2011 –	4	140	0	0	0	0
Jorge Perlaza Category:Articles with hCards	FW	Colombia	2012	2	72	0	0	1	0
Carlos Ruiz Category:Articles with hCards	FW	Guatemala	2011	14	1144	6	0	104	55
Shea Salinas Category:Articles with hCards	MF	USA	2010	17	795	1	0	0	0
Bakary Soumaré Category:Articles with hCards	DF	Mali	2012 – 13	4	351	0	0	13	0
Toni Ståhl Category:Articles with hCards	DF	Finland	2010	1	41	0	0	0	0
Shavar Thomas Category:Articles with hCards	DF	Jamaica	2010	1	35	0	0	52	0
Roger Torres Category:Articles with hCards	MF	Colombia	2010 –	61	2138	3	10	0	0
Carlos Valdés Category:Articles with hCards	DF	Colombia	2011 –	65	5803	3	1	9	2
Aaron Wheeler Category:Articles with hCards	FW	USA	2013 –	10	129	1	1	0	0
Sheanon Williams Category:Articles with hCards	DF	USA	2010 –	100	8901	4	13	0	0
