Round	Pick	Player	Position	School/Club Team
2	43	Bill Brundige	Defensive Tackle	Colorado
4	103	Paul Laaveg	Tackle	Iowa
5	114	Manny Sistrunk	Defensive Tackle	Arkansas AM&N
5	121	Danny Pierce	Running Back	Memphis State
7	173	Roland Merritt	Wide Receiver	Maryland
7	178	Jimmy Harris	Cornerback	Howard Payne
8	199	Paul Johnson	Defensive Back	Penn State
9	225	Ralph Sonntag	Tackel	Maryland
11	277	Mack Alston	Tight End	Maryland State
12	303	James Kates	Linebacker	Penn State
13	329	Joe Patterson	Tackle	Lawrence
14	355	Tony Moro	Running Back	Dayton
15	381	Vic Lewandowski	Center	Holy Cross
16	407	Steve Bushore	Wide Receiver	Emporia State
17	433	Earl Maxfield	Defensive Tackle	Baylor
