Week	Date	Opponent	Result	Attendance
1	September 4, 1988	Seattle Seahawks	L 21–14	75,986
2	September 11, 1988	San Diego Chargers	W 34–3	75,359
3	September 18, 1988	at Kansas City Chiefs	L 20–13	63,268
4	September 26, 1988	Los Angeles Raiders	L 30–27	75,964
5	October 2, 1988	at San Diego Chargers	W 12–0	55,763
6	October 9, 1988	at San Francisco 49ers	W 16–13	61,711
7	October 16, 1988	Atlanta Falcons	W 30–14	75,287
8	October 23, 1988	at Pittsburgh Steelers	L 39–21	49,811
9	October 31, 1988	at Indianapolis Colts	L 55–23	60,544
10	November 6, 1988	Kansas City Chiefs	W 17–11	74,227
11	November 13, 1988	Cleveland Browns	W 30–7	75,806
12	November 20, 1988	at New Orleans Saints	L 42–0	68,075
13	November 27, 1988	Los Angeles Rams	W 35–24	74,141
14	December 4, 1988	at Los Angeles Raiders	L 21–20	65,561
15	December 11, 1988	at Seattle Seahawks	L 42–14	62,838
16	December 17, 1988	New England Patriots	W 21–10	70,910
