Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2007	T Cars	Calvin Motorsport	16	5	2	2	10	134	2nd
2008	Formula BMW Europe	Fortec Motorsport	16	0	0	1	0	87	12th
2008	Formula Renault 2.0 Portugal Winter Series	Fortec Motorsport	2	0	0	0	1	18	5th
2008	Formula Renault 2.0 UK Winter Series	Fortec Competition	4	0	0	0	0	58	5th
2008	Formula BMW Americas	Autotecnica	2	0	0	0	0	0	NC†
2008	Formula BMW World Final	EuroInternational	1	0	0	0	0	N/A	9th
2008–09	Toyota Racing Series	Giles Motorsport	9	2	0	2	3	467	10th
2009	Formula BMW Europe	Fortec Motorsport	16	0	1	0	1	113	10th
2009	Formula BMW Pacific	EuroInternational	1	1	1	1	1	0	NC†
2010	Formula 3 Brazil Open	Hitech Racing Brazil	1	1	1	1	1	N/A	1st
2010	British Formula Three Championship	Hitech Racing	30	0	0	1	5	111	8th
2010	Masters of Formula 3	Hitech Racing	1	0	0	0	0	N/A	11th
2010	Macau Grand Prix Formula Three	Fortec Motorsport	1	0	0	0	0	N/A	15th
2011	British Formula Three Championship	Fortec Motorsport	30	3	3	4	9	197	4th
2011	Macau Grand Prix Formula Three	Fortec Motorsport	1	0	0	0	0	N/A	6th
2012	GP3 Series	Carlin	16	1	0	0	1	20	15th
2012	Formula 3 Euro Series	Carlin	24	2	1	1	8	182.5	5th
2012	FIA European Formula 3 Championship	Carlin	16	0	1	0	5	137	6th
2012	Masters of Formula 3	Carlin	1	0	0	0	0	N/A	6th
2012	Macau Grand Prix Formula Three	Carlin	1	0	0	0	0	N/A	10th
2013	FIA European Formula 3 Championship	ThreeBond with T-Sport	10	0	0	0	0	39	16th
2013	FIA European Formula 3 Championship	s Fortec Motorsport	10	0	0	0	0	39	16th
