Year	Entrant	Chassis	Engine	Pts.
1953	Hans Herrmann	Veritas Meteor	Veritas L6	0
1954	Daimler Benz AG	Mercedes-Benz W196	Mercedes-Benz L8	8
1955	Daimler Benz AG	Mercedes-Benz W196	Mercedes-Benz L8	1
1957	Officine Alfieri Maserati	Maserati 250F	Maserati L6	0
1957	Scuderia Centro Sud	Maserati 250F	Maserati L6	0
1958	Scuderia Centro Sud	Maserati 250F	Maserati L6	0
1958	Jo Bonnier	Maserati 250F	Maserati L6	0
1959	Scuderia Centro Sud	Cooper T51	Maserati L4	0
1959	British Racing Partnership	BRM P25	BRM L4	0
1960	Porsche System Engineering	Porsche 718/2	Porsche F4	1
1961	Porsche System Engineering	Porsche 718/2	Porsche F4	0
1961	Ecurie Maarsbergen	Porsche 718	Porsche F4	0
1966	Roy Winkelmann Racing	Brabham BT18 (F2)	Cosworth Straight-4	0
1969	Roy Winkelmann Racing	Lotus 59B (F2)	Cosworth Straight-4	0
