Index	Name	Chinese Name	Country	Status
F1	Yap Wei Chee Tracy	叶惠慈	Malaysia, Kuala Lumpur	Eliminated
F2	Pan Hung Hsi Celia	潘虹熹	Taipei, Taiwan	2nd Runner-up
F3	Zhou Ying	周颖	China, Shanghai	Eliminated
F4	Pan Pei Yun Priscilla	潘姵澐	Singapore	Eliminated
F5	Goh Hwee Li Jeneen	吴惠丽	Singapore	Eliminated
F6	Lin Peiqi Angel	林佩琪	China, Shanghai	Eliminated
F7	Koh Yah Hwee	许雅慧	Singapore	Runner-up Ms Telegenic
F8	Lee Mei Leng	李美玲	Malaysia, Kuala Lumpur	Eliminated
F9	Leow Yin Ning Jvnne	廖尹宁	Singapore	Eliminated
F10	Neo Wei Zhi Iren	梁溦芝	Singapore	Eliminated
M1	Chang Hao Yi	张昊艺	Taipei, Taiwan	Eliminated
M2	Chang Kay Yong Marcus	张家荣	Singapore	Eliminated
M3	Huan Kuan Chieh Reeve	黄冠捷	Taipei, Taiwan	Eliminated
M4	Yeo Wee Lie Jerry	杨伟烈	Singapore	1st Runner-up Most Popular
M5	Chen Bangjun Andie	陈邦鋆	Singapore	CHAMPION
M6	Tan Chin Jiang Desmond	陈泂江	Singapore	Runner-up
M7	Chang Hao Ying	张昊颖	Taipei, Taiwan	Eliminated
M8	Tan Sia Chong Jackson	陈侠中	Singapore	Runner-up Mr Personality
M9	Lin Kelun	林克伦	Singapore	Eliminated
M10	Khor Jia Young Raynard	许嘉洋	Malaysia, Penang	Eliminated
