District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Sam B. Hall	Democratic	1976	Re-elected	Sam B. Hall (D) 78.1% Fred Hudson (R) 21.9%
Texas 3	James M. Collins	Republican	1968	Re-elected	James M. Collins (R) Unopposed
Texas 4	Ray Roberts	Democratic	1962	Re-elected	Ray Roberts (D) 61.5% Frank S. Glenn (R) 38.5%
Texas 6	Olin E. Teague	Democratic	1946	Retired Democratic hold	Phil Gramm (D) 65.1% Wes Mowery (R) 34.9%
Texas 9	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) 63.3% Randy Evans (R) 36.7%
Texas 11	William R. Poage	Democratic	1936	Retired Democratic hold	Marvin Leath (D) 51.6% Jack Burgess (R) 48.4%
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) 68.5% Claude K. Brown (R) 31.5%
Texas 14	John Andrew Young	Democratic	1956	Lost renomination Democratic hold	Joseph P. Wyatt, Jr. (D) 72.4% Joy Yates (R) 27.6%
Texas 16	Richard C. White	Democratic	1964	Re-elected	Richard C. White (D) 70.0% Michael Giere (R) 30.0%
Texas 19	George H. Mahon	Democratic	1934	Retired Democratic hold	Kent Hance (D) 53.2% George W. Bush (R) 46.8%
Texas 20	Henry B. Gonzalez	Democratic	1961	Re-elected	Henry B. Gonzalez (D) Unopposed
Texas 22	Robert Gammage	Democratic	1976	Lost re-election Republican gain	Ron Paul (R) 50.6% Robert Gammage (D) 49.4%
