Name	Height	Weight	Spike	2008 club
Bruno Category:Articles with hCards	m ()	kg (lb)	cm (in)	Cimed
Marcelinho Category:Articles with hCards	m ()	kg (lb)	cm (in)	Panathinaikos VC
André Heller Category:Articles with hCards	m ()	kg (lb)	cm (in)	Pallavolo Modena
Samuel Fuchs Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lokomotiv Belgorod
Giba Category:Articles with hCards	m ()	kg (lb)	cm (in)	Iskra Odintsovo
Murilo Category:Articles with hCards	m ()	kg (lb)	cm (in)	Pallavolo Modena
André Category:Articles with hCards	m ()	kg (lb)	cm (in)	Pallavolo Modena
Sérgio Category:Articles with hCards	m ()	kg (lb)	cm (in)	Copra Nordmeccanica
Anderson Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sport Club Ulbra
Gustavo Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sisley Treviso
Rodrigão Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lube Banca Marche
Dante Category:Articles with hCards	m ()	kg (lb)	cm (in)	Panathinaikos VC
