Team	Manager	Captain	Kit manufacturer	Shirt sponsor
Arsenal	Arsène Wenger	Tony Adams	Nike	Dreamcast
Aston Villa	John Gregory	Gareth Southgate	Reebok	LDV Vans
Bradford City	Paul Jewell	Stuart McCall	ASICS	JCT600
Chelsea	Gianluca Vialli	Dennis Wise	Umbro	Autoglass
Coventry City	Gordon Strachan	Gary McAllister	CCFC Garments	Subaru
Derby County	Jim Smith	Darryl Powell	Puma AG	EDS
Everton	Walter Smith	Dave Watson	Umbro	One2One
Leeds United	David O'Leary	Lucas Radebe	Puma AG	Packard Bell
Leicester City	Martin O'Neill	Matt Elliott	Fox Leisure	Walkers Crisps
Liverpool	Gérard Houllier	Jamie Redknapp	Reebok	Carlsberg Group
Manchester United	Alex Ferguson	Roy Keane	Umbro	Sharp
Middlesbrough	Bryan Robson	Paul Ince	Erreà	BT Cellnet
Newcastle United	Bobby Robson	Alan Shearer	Adidas	Newcastle Brown Ale
Sheffield Wednesday	Peter Shreeves (caretaker)	Des Walker	Puma AG	Sanderson
Southampton	Glenn Hoddle	Matthew Le Tissier	Saints	Friends Provident
Sunderland	Peter Reid	Steve Bould	ASICS	Reg Vardy
Tottenham Hotspur	George Graham	Sol Campbell	Adidas	Holsten
Watford	Graham Taylor	Robert Page	Le Coq Sportif	Phones4U
West Ham United	Harry Redknapp	Steve Lomas	Fila	Dr. Martens
Wimbledon	Terry Burton (caretaker)	Robbie Earle	Lotto	Tiny
