Year	Position	Games played	Won	Tied	Lost	Goals Scored	Goals Against	Points	Postseason place
Invierno 96	2	21	10	5	6	37	29	35	Semifinals
Verano 97	16	17	4	8	5	15	18	20	Didn't qualify
Invierno 97	17	17	5	4	8	20	27	19	Didn't qualify
Verano 98	10	19	4	6	8	25	33	18	Repechaje
Invierno 98	18	17	2	3	12	13	39	9	Didn't qualify
Verano 99	16	17	3	4	10	15	30	15	Didn't qualify
Invierno 99	16	17	3	4	10	15	30	15	Didn't qualify
Verano 2000	8	17	6	6	5	30	28	24	Didn't qualify
Invierno 2000	16	17	4	4	9	18	20	16	Didn't qualify
Verano 2001	5	17	7	6	4	21	17	27	Semifinals
Invierno 2001	10	17	5	8	5	22	22	23	Didn't qualify
Verano 2002	18	18	5	11	24	45	22	11	Didn't qualify
Apertura 2002	16	19	6	4	9	23	29	22	Didn't qualify
Clausura 2003	19	19	4	4	11	15	31	16	Didn't qualify
Apertura 2003	17	19	5	5	9	23	30	20	Didn't qualify
Clausura 2004	16	19	5	5	9	27	29	20	Didn't qualify
Apertura 2004	12	17	5	6	6	17	23	21	Didn't qualify
