Rnd	Date	Race Name	Track	Location	Pole position	Fastest lap	Most Laps Led	Winner
1	March 6	Toyota Indy 300	Homestead-Miami Speedway	Homestead, Florida	Tomas Scheckter	Buddy Rice	Dan Wheldon	Dan Wheldon
2	March 19	XM Satellite Radio Indy 200	Phoenix International Raceway	Phoenix, Arizona	Bryan Herta	Dario Franchitti	Dan Wheldon	Sam Hornish, Jr.
3	April 3	Honda Grand Prix of St. Petersburg	Streets of St. Petersburg	St. Petersburg, Florida	Bryan Herta	Dario Franchitti	Ryan Briscoe	Dan Wheldon
4	April 30	Indy Japan 300	Twin Ring Motegi	Motegi , Japan	Sam Hornish, Jr.	Dan Wheldon	Dario Franchitti	Dan Wheldon
5	May 29	89th Indianapolis 500	Indianapolis Motor Speedway	Speedway, Indiana	Tony Kanaan	Tony Kanaan	Sam Hornish, Jr.	Dan Wheldon
6	June 11	Bombardier Learjet 500	Texas Motor Speedway	Fort Worth, Texas	Tomas Scheckter	Tomáš Enge	Tomas Scheckter	Tomas Scheckter
7	June 25	SunTrust Indy Challenge	Richmond International Raceway	Richmond, Virginia	Sam Hornish, Jr.	Kosuke Matsuura	Hélio Castroneves	Hélio Castroneves
8	July 3	Argent Mortgage Indy 300	Kansas Speedway	Kansas City, Kansas	Danica Patrick	Ryan Briscoe	Dan Wheldon	Tony Kanaan
9	July 16	Firestone Indy 200	Nashville Superspeedway	Lebanon, Tennessee	Tomas Scheckter	Scott Sharp	Tony Kanaan	Dario Franchitti
10	July 24	ABC Supply Company A.J. Foyt 225	The Milwaukee Mile	West Allis, Wisconsin	Sam Hornish, Jr.	Tomas Scheckter	Sam Hornish, Jr.	Sam Hornish, Jr.
11	July 31	Firestone Indy 400	Michigan International Speedway	Brooklyn, Michigan	Bryan Herta	Townsend Bell	Bryan Herta	Bryan Herta
12	August 14	AMBER Alert Portal Indy 300	Kentucky Speedway	Sparta, Kentucky	Danica Patrick	Danica Patrick	Dan Wheldon	Scott Sharp
13	August 21	Honda Indy 225	Pikes Peak International Raceway	Fountain, Colorado	Hélio Castroneves	Dario Franchitti	Sam Hornish, Jr.	Dan Wheldon
14	August 28	Argent Mortgage Indy Grand Prix	Infineon Raceway	Sonoma, California	Ryan Briscoe	Tony Kanaan	Tony Kanaan	Tony Kanaan
15	September 11	Peak Antifreeze Indy 300	Chicagoland Speedway	Joliet, Illinois	Danica Patrick	Dario Franchitti	Dan Wheldon	Dan Wheldon
16	September 25	Watkins Glen Indy Grand Prix	Watkins Glen International	Watkins Glen, New York	Hélio Castroneves	Scott Dixon	Scott Dixon	Scott Dixon
