Date	Opponent	Score	Loss	Attendance	Record
April 5	@ Twins	7 - 4 (11)	Durbin (0-1)	49,584	0-1
April 6	@ Twins	7 - 6 (15)	Westbrook (0-1)	19,832	0-2
April 7	@ Twins	11 - 4	Lohse (0-1)	20,313	1-2
April 8	@ Royals	6 - 1	Affeldt (0-1)	14,671	2-2
April 9	@ Royals	3 - 1	Cressend (0-1)	28,535	2-3
April 10	@ Royals	7 - 6 (10)	Betancourt (0-1)	21,889	2-4
April 11	@ Royals	5 - 3	Jiménez (0-1)	16,933	2-5
April 12	Twins	6 - 3	Lohse (0-2)	42,424	3-5
April 14	Twins	10 - 6	D'Amico (1-1)	14,237	3-6
April 15	Twins	3 - 0	Stanford (0-1)	15,105	3-7
April 16	Tigers	10 - 3	Cornejo (1-1)	18,507	4-7
April 17	Tigers	6 - 1	Davis (0-1)	18,955	4-8
April 18	Tigers	9 - 7	Bonderman (1-1)	19,240	5-8
April 19	Tigers	10 - 4	Betancourt (0-2)	13,650	5-9
April 20	Royals	15 - 5	Durbin (1-2)	13,563	5-10
April 21	Royals	Postponed (rain) Rescheduled for July 24	Postponed (rain) Rescheduled for July 24	Postponed (rain) Rescheduled for July 24	Postponed (rain) Rescheduled for July 24
April 22	Royals	5 - 4	Grimsley (1-1)	15,720	6-10
April 23	@ Tigers	17 - 3	Davis (0-2)	22,008	6-11
April 24	@ Tigers	5 - 2	Stewart (0-1)	20,913	6-12
April 25	@ Tigers	3 - 2	Johnson (1-4)	17,253	7-12
April 27	@ White Sox	11 - 7 (10)	Adkins (2-1)	14,572	8-12
April 28	@ White Sox	9 - 8	Betancourt (2-3)	12,189	8-13
April 30	Orioles	11 - 2	Ponson (2-2)	18,782	9-13
