Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	November 11, 2007	Toronto , Canada	Hard (i)	Gabriela Dabrowski	Maria Fernanda Alves Christina Wheeler	6–3, 6–0
Runner–up	October 25, 2008	Saguenay , Canada	Hard (i)	Gabriela Dabrowski	Katalin Marosi Marina Tavares	6–2, 4–6, [4–10]
Runner–up	January 18, 2009	Boca Raton , United States	Clay	Kimberly Couts	Alina Jidkova Darya Kustova	4–6, 2–6
Winner	January 24, 2009	Lutz , United States	Clay	Kimberly Couts	Story Tweedie-Yates Mashona Washington	6–4, 7–5
Winner	November 8, 2009	Rock Hill , United States	Hard	Anna Tatishvili	Lauren Albanese Jamie Hampton	7–6 (7–5) , 4–6, [10–3]
Winner	November 15, 2009	Phoenix , United States	Hard	Mashona Washington	Marie-Ève Pelletier Anna Tatishvili	4–6, 6–4, [10–8]
Runner–up	November 21, 2009	Toronto , Canada	Hard (i)	Mashona Washington	Maureen Drake Marianne Jodoin	3–2 ret.
Winner	July 10, 2010	Biarritz , France	Clay	Julia Görges	Lourdes Domínguez Lino Monica Niculescu	7–5, 6–4
Runner–up	July 18, 2010	Contrexéville , France	Clay	Jelena Dokić	Nina Bratchikova Ekaterina Ivanova	6–4, 4–6, [3–10]
Winner	July 24, 2010	Pétange , Luxembourg	Clay	Monica Niculescu	Sophie Lefèvre Laura Thorpe	6–4, 6–2
Winner	November 6, 2010	Toronto , Canada	Hard (i)	Gabriela Dabrowski	Brittany Augustine Alexandra Mueller	6–4, 6–0
Runner–up	January 22, 2011	Lutz , United States	Clay	Gabriela Dabrowski	Ahsha Rolle Mashona Washington	4–6, 4–6
Winner	April 9, 2011	Jackson , United States	Clay	Marie-Ève Pelletier	Eva Hrdinová Natalie Piquion	7–6 (7–1) , 7–6 (7–3)
Winner	May 1, 2011	Charlottesville , United States	Clay	Marie-Ève Pelletier	Julie Ditty Carly Gullickson	6–3, 6–3
Winner	May 15, 2011	Raleigh , United States	Clay	Marie-Ève Pelletier	Beatrice Capra Asia Muhammad	6–1, 6–3
Runner–up	June 26, 2011	Boston , United States	Hard	Marie-Ève Pelletier	Tetiana Luzhanska Alexandra Mueller	6–7 (3–7) , 3–6
Winner	July 16, 2011	Granby , Canada	Hard	Sun Shengnan	Vyktoria Kisialeva Nathalia Rossi	6–4, 6–2
Runner–up	April 22, 2012	Dothan , United States	Clay	Marie-Ève Pelletier	Eugenie Bouchard Jessica Pegula	4–6, 6–4, [5–10]
Winner	July 14, 2012	Waterloo , Canada	Clay	Marie-Ève Pelletier	Shuko Aoyama Gabriela Dabrowski	6–2, 7–5
Winner	July 21, 2012	Granby , Canada	Hard	Marie-Ève Pelletier	Shuko Aoyama Miki Miyamura	4–6, 7–5, [10–4]
Runner–up	October 13, 2012	Troy , United States	Hard	Marie-Ève Pelletier	Angelina Gabueva Arina Rodionova	4–6, 4–6
Runner–up	October 27, 2012	Saguenay , Canada	Hard (i)	Marie-Ève Pelletier	Gabriela Dabrowski Alla Kudryavtseva	2–6, 2–6
Winner	May 4, 2013	Wiesbaden , Germany	Clay	Gabriela Dabrowski	Dinah Pfizenmaier Anna Zaja	6–3, 6–3
Runner–up	June 7, 2013	Nottingham , United Kingdom	Grass	Gabriela Dabrowski	Maria Sanchez Nicola Slater	6–4, 3–6, [8–10]
Winner	July 6, 2013	Waterloo , Canada	Clay	Gabriela Dabrowski	Misa Eguchi Eri Hozumi	7–6 (8–6) , 6–3
Winner	August 3, 2013	Vancouver , Canada	Hard	Maryna Zanevska	Jacqueline Cako Natalie Pluskota	6–2, 6–2
