Tournament	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	Career SR	Career Win-Loss
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	A	A	A	2R	QF	2R	1R	1R	A	4R	3R	3R	1R	A	0 / 9	13–9
French Open	A	A	1R	QF	2R	3R	4R	3R	QF	1R	W	SF	3R	1R	A	1 / 12	30–11
Wimbledon	A	A	1R	A	2R	A	2R	1R	A	A	A	A	1R	A	A	0 / 5	2–5
US Open	A	A	1R	A	1R	1R	1R	1R	2R	4R	2R	2R	1R	1R	A	0 / 11	6–11
Grand Slam SR	0 / 0	0 / 0	0 / 3	0 / 1	0 / 4	0 / 3	0 / 4	0 / 4	0 / 3	0 / 2	1 / 3	0 / 3	0 / 4	0 / 3	0 / 0	1 / 37	N/A
Annual Win-Loss	0–0	0–0	0–3	4–1	3–4	6–3	5–4	2–4	5–3	3–2	11–2	8–3	4–4	0–3	0–0	N/A	51–36
Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics	Summer Olympics
Summer Olympics	A	Not Held	Not Held	Not Held	2R	Not Held	Not Held	Not Held	1R	Not Held	Not Held	Not Held	A	Not Held	Not Held	0 / 2	1–2
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	A	A	1R	3R	1R	2R	1R	3R	1R	2R	2R	3R	A	A	0 / 10	8–10
Key Biscayne	A	A	A	A	2R	2R	3R	4R	2R	2R	2R	SF	2R	A	A	0 / 9	11–9
Monte Carlo	A	A	2R	1R	F	3R	3R	QF	QF	3R	QF	2R	1R	2R	A	0 / 12	22–12
Rome	A	A	2R	1R	SF	3R	F	1R	QF	1R	QF	3R	SF	2R	A	0 / 12	25–11
Hamburg	A	A	A	2R	2R	QF	W	2R	1R	SF	2R	2R	3R	2R	A	1 / 11	19–10
Toronto / Montreal	A	A	A	A	A	A	3R	A	A	3R	1R	A	A	A	A	0 / 3	4–3
Cincinnati	A	A	A	A	A	SF	2R	2R	1R	1R	2R	1R	A	A	A	0 / 7	7–7
Stuttgart / Madrid	A	A	A	A	1R	A	1R	2R	2R	2R	A	2R	2R	1R	A	0 / 8	5–8
Paris	A	A	A	A	1R	A	1R	3R	QF	3R	2R	2R	A	A	A	0 / 7	8–7
Masters Series SR	0 / 0	0 / 0	0 / 2	0 / 4	0 / 7	0 / 6	1 / 9	0 / 8	0 / 8	0 / 9	0 / 8	0 / 8	0 / 6	0 / 4	0 / 0	1 / 79	N/A
Annual Win-Loss	0–0	0–0	2–2	1–4	13–7	11–6	19–7	9–8	12–8	11–9	9–8	11–8	8–6	3–4	0–0	N/A	109–77
Year End Ranking	747	221	52	24	13	19	14	18	26	40	9	25	56	116	623	N/A	N/A
