Game	December	Opponent	Score	Record	Points
24	1	Tampa Bay Lightning	2–0	11–7–5–1	28
25	4	@ New York Islanders	3–2	12–7–5–1	30
26	6	New York Islanders	0–2	12–8–5–1	30
27	8	Minnesota Wild	5–1	13–8–5–1	32
28	10	@ Atlanta Thrashers	3–1	14–8–5–1	34
29	13	Montreal Canadiens	2–3	14–9–5–1	34
30	15	@ Boston Bruins	5–2	15–9–5–1	36
31	16	Edmonton Oilers	2–3	15–10–5–1	36
32	18	St. Louis Blues	6–3	16–10–5–1	38
33	20	Dallas Stars	2–1	17–10–5–1	40
34	22	Carolina Hurricanes	4–3 OT	18–10–5–1	42
35	26	@ Washington Capitals	4–1	19–10–5–1	44
36	28	@ Phoenix Coyotes	2–4	19–11–5–1	44
37	29	@ Colorado Avalanche	5–2	20–11–5–1	46
38	31	@ Vancouver Canucks	2–1	21–11–5–1	48
