Result	Opponent	Type	Rd., Time	Date	Location
Result	Opponent	Type	Rd., Time	Date	Location
Draw	Pablo Navascues	Decision (points)	10	4 April 2009	Leganés , ESP
Loss	Sebastian Sylvester	KO	12 (12)	12 April 2008	Neubrandenburg , GER
Win	Mariano Natalio Carrera	KO	6 (12)	13 November 2007	Göppingen , GER
Loss	Felix Sturm	Decision (unanimous)	12	28 April 2007	Oberhausen , GER
Desc.	Mariano Natalio Carrera	NC	12	2 December 2006	Neukoelln, GER
Win	Felix Sturm	TKO	10 (12)	15 July 2006	Hamburg , GER
Win	Luis Carmona	TKO	2 (10)	3 February 2006	Santa Cruz de Tenerife , ESP
Win	Presente Brito	Decision (points)	8	4 November 2005	Leganés , ESP
Loss	Fernando Vargas	Decision (unanimous)	10	20 August 2005	Rosemont, Illinois , USA
Win	Enrique Campos	TKO	5 (8)	11 June 2004	Leganés , ESP
Win	Genaro Rios	TKO	3 (10)	16 April 2004	Leganés , ESP
Win	Ignacio Solar	TKO	2 (10)	12 September 2003	Leganés , ESP
Win	Diego Castillo	TKO	1 (12)	9 May 2003	Leganés , ESP
Win	Roman Karmazin	Decision (unanimous)	12	12 July 2002	Parla , ESP
Win	Pierre Moreno	TKO	7 (10)	26 April 2002	Barcelona , ESP
Win	Xavier Moya	TKO	5 (10)	11 January 2002	Barcelona , ESP
Loss	Oscar De La Hoya	Decision (unanimous)	12 (12)	23 June 2001	Las Vegas, Nevada , USA
Win	Javier Martinez Rodriguez	KO	4 (12)	21 October 2000	Salon 21 (Mexico City), MEX
Win	Tony Marshall	Decision (unanimous)	12	21 July 2000	Leganés , ESP
Win	Juan Rondon	TKO	3 (10)	14 April 2000	Leganés , ESP
Win	Mohamed Boualleg	KO	8 (10)	17 March 2000	Ciudad Real , ESP
Win	Michael Rask	TKO	7 (12)	17 December 1999	Leganés , ESP
Win	Paolo Roberto	TKO	7 (12)	10 September 1999	Leganés , ESP
Win	Humberto Aranda	TKO	4 (12)	14 May 1999	Leganés , ESP
Win	Keith Mullings	Decision (points)	12	29 January 1999	Leganés , ESP
Win	Cristinel Acatrinei	TKO	2 (8)	16 October 1998	Leganés , ESP
Win	Ahmet Dottuev	TKO	12 (12)	2 July 1998	Corn Exchange (Ipswich), UK
Win	Fernando Jose Riera	Decision (points)	10	18 March 1997	Valencia , ESP
Win	Juan Ramón Medina	TKO	8 (12)	12 July 1996	Hernani , ESP
Win	Tibor Horvath	TKO	4 (6)	16 May 1996	Madrid, ESP
Win	Stefan Driscu	TKO	2 (8)	7 March 1996	Madrid , ESP
Loss	Laurent Boudouani	Decision (unanimous)	12	6 January 1996	Levallois-Perret, FRA
Win	Carlos Rocha Tomar	Disqualification	6	14 July 1995	Seville , ESP
Loss	Laurent Boudouani	TKO	9 (12)	3 January 1995	Epernay, FRA
Win	Ludovic Proto	Decision (points)	6	23 July 1994	Boiro, ESP
Win	Patrick Vungbo	Decision (points)	12	29 May 1994	Leganés , ESP
Win	Valentino Manca	KO	3 (12)	25 March 1994	Córdoba , ESP
Win	Santo Colombo	TKO	3 (12)	19 February 1994	Madrid , ESP
Win	Bernard Razzano	RTD	6 (12)	11 January 1994	Dijon , FRA
Win	Hugo Daniel Sclarandi	KO	5 (12)	29 October 1993	Leganés , ESP
Win	Javier Rivera	tKO	4 (8)	25 June 1993	Leganés , ESP
Loss	Julio César Vásquez	Decision (unanimous)	12	24 April 1993	La Ermita Parque Sur ( Leganés ), ESP
Win	Jesus Carlos Velez	Decision (points)	8	26 March 1993	Leganés , ESP
Win	Enrique Areco	Decision (points)	12	12 December 1992	Oviedo , ESP
Win	Antonio Campbell	KO	3 (8)	13 October 1992	Leganés , ESP
Win	Vasile Citea	Decision (points)	8	17 July 1992	Leganés , ESP
Win	Jorge Andrés Sclarandi	Decision (unanimous)	8	19 June 1992	Leganés , ESP
Win	Saoul Mamby	Decision (points)	8	15 May 1992	Bilbao , ESP
Win	Harry Arroyo	TKO	3 (8)	10 April 1992	Leganés , ESP
Win	Edison Martínez	KO	3 (8)	14 March 1992	Leganés , ESP
Win	Lindon Scarlett	Decision (points)	8	8 February 1992	Leganés , ESP
Win	Gejza Stipak	TKO	5 (8)	17 January 1992	Leganés , ESP
Win	Patrick Vungbo	TKO	5 (8)	6 December 1991	Leganés , ESP
Win	Domingo Sánchez	TKO	4 (10), 0:51	5 July 1991	Lugo , ESP
Win	Juan Rosario	TKO	6 (8)	18 May 1991	Madrid , ESP
Win	Eric Dindaine	Decision (points)	8	21 December 1990	Leganés , ESP
Win	Alfonso Redondo	TKO	4 (10)	19 October 1990	Leganés , ESP
Win	José Salinas	KO	1 (8)	17 August 1990	Almería , ESP
Win	Claudio Salgado	TKO	1 (6)	14 July 1990	Parla , ESP
Win	Mateo Valdez	TKO	2 (8)	31 May 1990	Madrid , ESP
Win	Felix Rodríguez	TKO	5 (8)	5 May 1990	Zaragoza , ESP
Win	Carlos Tavarez	TKO	2 (6)	16 February 1990	Bilbao , ESP
Win	Louie Antuna	Decision (points)	6	30 December 1989	Santoña , ESP
Win	Jimmy Bartes	TKO	2 (6)	16 November 1989	Madrid , ESP
Loss	Del Bryan	Decision (points)	8	19 August 1989	Benidorm , ESP
Win	Victor Carvalho	Decision (points)	6	29 July 1989	Madrid , ESP
Win	Juan Antonio López	Decision (points)	8	14 June 1989	Madrid , ESP
Win	Modesto Villardell	TKO	1 (6)	23 February 1989	Madrid , ESP
Win	Santiago Vasquez	Decision (points)	6	19 November 1988	Irún ESP
Win	Juan Pérez	TKO	1 (4)	4 November 1988	Torrejón de Ardoz , ESP
Win	Angel Diez	TKO	4 (6)	2 September 1988	San Martín de Valdeiglesias , ESP
Win	Angel Diez	Decision (points)	6	22 July 1988	Madrid , ESP
