Place	Player	Country	Score	To par
1	Jim Furyk	United States	67-66-67=200	–10
2	Stephen Leaney	Australia	67-68-68-203	–7
T3	Nick Price	Zimbabwe	71-65-69=205	–5
T3	Vijay Singh	Fiji	70-63-72=205	–5
T5	Jonathan Byrd	United States	69-66-71=206	–4
T5	Ian Leggatt	Canada	68-70-68=206	–4
T5	Dicky Pride	United States	71-69-66=206	–4
T5	Eduardo Romero	Argentina	70-66-70=206	–4
T9	Mark Calcavecchia	United States	68-72-67=207	–3
T9	Billy Mayfair	United States	69-71-67=207	–3
T9	Mark O'Meara	United States	72-68-67=207	–3
