Name	Pos.	Height	Weight	Year	Hometown (Previous school)
Derick Nelson	F	6'5"	226	Jr.	Lansing, MI ( Bridgton Academy )
Peter Bunn	G	6'1"	165	Fr.	Lansing, MI (Lansing Christian)
Will Hudson	F	6'9"	220	Fr.	Verona, WI ( Middleton )
B-Jay Walker	G	5'8"	149	So.	Lathrup Village, MI ( Shrine Catholic )
Brandon Cassise	G	6'3"	207	Sr.	Walled Lake, MI ( St. Mary's Preparatory )
Shane Lawal	C	6'10"	225	Jr.	Southfield, MI (Lathrup)
Ricky Bieszki	G	6'2"	186	Jr.	Shelby Township, MI ( Notre Dame Preparatory )
Ray Goodson	G	6'1"	195	Fr.	Detroit, MI (Pershing)
Johnathon Jones	G	5'11"	160	So.	Okemos, MI ( Okemos )
Erik Kangas	G	6'3"	210	Jr.	DeWitt, MI (DeWitt)
John Kast	G	6'2"	190	Fr.- R	Clarkston, MI ( Clarkston )
Tim Williams	G	6'2"	200	Fr.	Pontiac, MI (Pontiac Northern)
Keith Benson	C	6'11"	210	Fr.- R	Farmington Hills, MI ( Country Day )
Patrick McCloskey	F	6'8"	229	Sr.	Marshall, MI ( Marshall )
Dan Waterstradt	C	6'10"	240	Jr.	Dearborn Heights, MI ( Rutgers )
