Category	Type	Attribute	Description	Bubbles	Cancelable
Mouse	dragstart	ondragstart	Fired on an element when a drag is started.	Yes	Yes
Keyboard	keyup	onkeyup	Fires when a key on the keyboard is released	Yes	Yes
HTML frame /object	resize	onresize	Fires when a document view is resized	Yes	No
HTML frame /object	scroll	onscroll	Fires when a document view is scrolled	Yes	No
HTML form	submit	onsubmit	Fires when a form is submitted	Yes	Yes
HTML form	reset	onreset	Fires when a form is reset	Yes	No
Mutation	DOMSubtreeModified	(none)	Fires when the subtree is modified	Yes	No
Mutation	DOMNodeRemoved	(none)	Fires when a node has been removed from a DOM-tree	Yes	No
Mutation	DOMNodeRemovedFromDocument	(none)	Fires when a node is being removed from a document	No	No
Mutation	DOMAttrModified	(none)	Fires when an attribute has been modified	Yes	No
