Week	Date	Opponent	Result	Attendance
1	September 4, 1994	at Los Angeles Rams	L 14-12	32,969
2	September 11, 1994	New York Giants	L 20-17	60,066
3	September 18, 1994	at Cleveland Browns	L 32-0	62,818
4	Bye	Bye	Bye	Bye
5	October 2, 1994	Minnesota Vikings	W 17-7	67,950
6	October 9, 1994	at Dallas Cowboys	L 38-3	64,518
7	October 16, 1994	at Washington Redskins	W 19-16	50,019
8	October 23, 1994	Dallas Cowboys	L 28-21	71,023
9	October 30, 1994	Pittsburgh Steelers	W 20-17	65,690
10	November 6, 1994	at Philadelphia Eagles	L 17-7	64,952
11	November 13, 1994	at New York Giants	W 10-9	71,719
12	November 20, 1994	Philadelphia Eagles	W 12-6	62,779
13	November 27, 1994	Chicago Bears	L 19-16	65,922
14	December 4, 1994	at Houston Oilers	W 30-12	39,821
15	December 11, 1994	Washington Redskins	W 17-15	53,790
16	December 18, 1994	Cincinnati Bengals	W 28-7	50,110
17	December 24, 1994	at Atlanta Falcons	L 10-6	35,311
