Pick #	NFL Team	Player	Position	College
18	Green Bay Packers	Tony Bennett	Linebacker	Mississippi
19	Green Bay Packers	Darrell Thompson	Running Back	Minnesota
48	Green Bay Packers	LeRoy Butler	Strong Safety	Florida State
75	Green Bay Packers	Bobby Houston	Linebacker	North Carolina State
102	Green Bay Packers	Jackie Harris	Tight End	Louisiana-Monroe
132	Green Bay Packers	Charles Wilson	Wide Receiver	Memphis State
159	Green Bay Packers	Bryce Paup	Defensive End	Northern Iowa
186	Green Bay Packers	Lester Archambeau	Defensive End	Stanford
215	Green Bay Packers	Roger Brown	Cornerback	Virginia Tech
242	Green Bay Packers	Kirk Baumgartner	Quarterback	Wisconsin-Stevens Point
269	Green Bay Packers	Jerome Martin	Defensive Back	Western Kentucky
299	Green Bay Packers	Harry Jackson	Running Back	St. Cloud State
