Player	Nationality	Jersey Number(s)	Position	Years
James Bailey Category:Articles with hCards	United States	20	PF / Center	1979 – 1981
Vin Baker Category:Articles with hCards	United States	42	PF	1997 – 2002
Greg Ballard Category:Articles with hCards	United States	42	PF	1988–1989
Mike Bantom Category:Articles with hCards	United States	40	PF / C	1975 – 1977
Norton Barnhill Category:Articles with hCards	United States	10	G	1976–1977
Dana Barros Category:Articles with hCards	United States	3, 11	PG	1989 – 1993
Brent Barry Category:Articles with hCards	United States	31	SG	1999 – 2004
Drew Barry Category:Articles with hCards	United States	12	SG	1999
Butch Beard Category:Articles with hCards	United States	21	SG	1972–1973
Benoit Benjamin Category:Articles with hCards	United States	00	C	1990 – 1993
Tom Black Category:Articles with hCards	United States	12	C	1970–1971
Cory Blackwell Category:Articles with hCards	United States	30	SF	1984–1985
Calvin Booth Category:Articles with hCards	United States	52	C	2001 – 2004
Bob Boozer Category:Articles with hCards	United States	20	PF	1969–1970
Lazaro Borrell Category:Articles with hCards	Cuba	11	PF	1999–2000
Charles Bradley Category:Articles with hCards	United States	30	SG	1983
Frank Brickowski Category:Articles with hCards	United States	33, 34	PF / C	1984 – 1986 1995–1996
John Brisker Category:Articles with hCards	United States	40, 42	SF - SG	1972 – 1975
^ Fred Brown Category:Articles with hCards	United States	32	PG / SG	1971 – 1984
Tony Brown Category:Articles with hCards	United States	21	SF - SG	1992
Rick Brunson Category:Articles with hCards	United States	5	PG	2005–2006
Tommy Burleson Category:Articles with hCards	United States	16	C	1974 – 1977
