Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
32	January 2	@ Sacramento	L 89–94 (OT)	Steve Nash (20)	Marcin Gortat , Grant Hill (6)	Steve Nash (12)	ARCO Arena 12,500	14–18
33	January 5	L.A. Lakers	L 95–99 (OT)	Jared Dudley (21)	Marcin Gortat (9)	Steve Nash (10)	US Airways Center 18,105	14–19
34	January 7	New York	L 96–121 (OT)	Vince Carter (19)	Jared Dudley , Channing Frye (6)	Steve Nash (9)	US Airways Center 17,621	14–20
35	January 9	Cleveland	W 108–100 (OT)	Jared Dudley (21)	Channing Frye (12)	Steve Nash (17)	US Airways Center 17,031	15–20
36	January 11	@ Denver	L 98–132 (OT)	Vince Carter , Steve Nash (15)	Channing Frye (8)	Steve Nash (7)	Pepsi Center 14,874	15–21
37	January 12	New Jersey	W 118–109 (OT)	Vince Carter , Steve Nash (23)	Channing Frye , Steve Nash (7)	Steve Nash (16)	US Airways Center 16,334	16–21
38	January 14	Portland	W 115–111 (OT)	Steve Nash (23)	Channing Frye (8)	Steve Nash (13)	US Airways Center 17,412	17–21
39	January 17	@ New York	W 129–121 (OT)	Vince Carter (29)	Vince Carter (12)	Steve Nash (11)	Madison Square Garden 19,763	18–21
40	January 19	@ Cleveland	W 106–98 (OT)	Grant Hill (27)	Marcin Gortat , Grant Hill (12)	Steve Nash (15)	Quicken Loans Arena 20,562	19–21
41	January 21	@ Washington	W 109–91 (OT)	Channing Frye (25)	Marcin Gortat (14)	Steve Nash (14)	Verizon Center 15,716	20–21
42	January 22	@ Detroit	L 74–75 (OT)	Steve Nash (14)	Marcin Gortat (13)	Steve Nash (8)	The Palace of Auburn Hills 21,326	20–22
43	January 24	@ Philadelphia	L 95–105 (OT)	Jared Dudley (23)	Jared Dudley (7)	Steve Nash (9)	Wells Fargo Center 14,881	20–23
44	January 26	Charlotte	L 107–114 (OT)	Steve Nash (27)	Marcin Gortat (7)	Steve Nash (15)	US Airways Center 16,986	20–24
45	January 28	Boston	W 88–71 (OT)	Marcin Gortat (19)	Marcin Gortat (17)	Steve Nash (10)	US Airways Center 18,422	21–24
