Player	Total Win-Loss	Singles Win-Loss	Doubles Win-Loss	No. of ties	First year played	Years Played
Olena Antypina	4-3	2-2	2-1	4	2006	1
Talina Beiko	2-4	1-2	1-2	3	1995	1
Gabriela Beleni	2-2	1-1	1-1	2	1993	1
Yuliya Beygelzimer	17-12	9-7	8-5	19	2000	6
Natalia Biletskaia	2-5	1-2	1-3	4	1993	1
Valeria Bondarenko	4-8	0-5	4-3	7	2005	2
Alona Bondarenko	22-11	15-8	7-3	18	2002	6
Kateryna Bondarenko	12-7	4-7	8-0	12	2005	6
Elena Brioukhovets	7-2	3-1	4-1	6	1994	2
Yuliana Fedak	5-3	5-2	0-1	6	2004	2
Elena Jirnova	0-1	0-0	0-1	1	1997	1
Mariya Koryttseva	5-3	1-1	4-2	7	2004	4
Tatiana Kovaltchouk	7-6	4-3	3-3	11	1996	4
Viktoriya Kutuzova	0-1	0-0	0-1	1	2010	1
Olga Lugina	3-9	2-4	1-5	7	1993	3
Natalia Medvedeva	7-8	2-4	5-4	11	1994	3
Yulia Mirna	0-2	0-0	0-2	2	1999	1
Natalia Nemchinova	0-5	0-3	0-2	3	1997	1
Tatiana Perebiynis	10-12	4-9	6-3	12	1999	6
Anastasia Ponomarenko	0-1	0-0	0-1	1	1997	1
Olga Savchuk	7-2	2-0	5-2	9	2004	4
Elena Tatarkova	27-11	17-7	10-4	27	1994	8
Olga Teplinskaia	1-0	0-0	1-0	1	1998	1
Anna Zaporozhanova	8-4	5-2	3-2	8	1996	3
