Rank	Rider	Team	Speed	Time
1	Oliver Linsdell	398cc Yamaha	107.197mph	1:24.38.25
2	Tim Sayers	400cc Kawasaki	104.796mph	1:26.24.29
3	Keith Costello	400cc Honda	104.567mph	1:26.35.85
4	Joe Phillips	398cc Kawasaki	104.537mph	1:26.37.32
5	Andrew Kirkwood	399cc Kawasaki	103.441mph	1:23.32.41
6	Dan Sayle	125cc Honda	101.577mph	1:29.08.76
7	Ross Johnson	400cc Kawasaki	101.333mph	1:29.21.67
8	Myles Byrne	400cc Honda	100.695mph	1:29.55.90
9	Anthony Davies	399cc yamaha	100.482mph	1:30.7.04
10	Ian Hickey	400cc Honda	99.691mph	1:30.49.97
