Title	Series	Director	Characters	Release date	reissue?
Who's Kitten Who?	LT	Robert McKimson	Hippety , Sylvester , Sylvester Jr.	1952-01-05	Yes
Operation: Rabbit	LT	Charles M. Jones	Bugs Bunny , Wile E.	1952-01-19	No
Feed the Kitty	MM	Charles M. Jones	Marc and Pussyfoot	1952-02-02	Yes
Gift Wrapped	LT	I. Freleng	Sylvester , Tweety , Granny , Hector	1952-02-16	Yes
Foxy by Proxy	MM	I. Freleng	Bugs Bunny	1952-02-23	No
Thumb Fun	LT	Robert McKimson	Daffy Duck , Porky Pig	1952-03-01	Yes
14 Carrot Rabbit	LT	I. Freleng	Bugs Bunny , Yosemite Sam	1952-03-15	Yes
Little Beau Pepe	MM	Charles M. Jones	Pepé , Penelope	1952-03-29	Yes
Kiddin' The Kitten	MM	Robert McKimson	Dodsworth	1952-04-05	Yes
Water, Water Every Hare	LT	Charles M. Jones	Bugs Bunny , Gossamer	1952-04-19	No
Little Red Rodent Hood	MM	I. Freleng	Sylvester , Hector	1952-05-03	No
Sock-a-Doodle-Do	LT	Robert McKimson	Foghorn	1952-05-10	Yes
Beep, Beep	MM	Charles M. Jones	Wile E. and Road Runner	1952-05-24	Yes
The Hasty Hare	LT	Charles M. Jones	Bugs Bunny , Marvin the Martian	1952-06-07	No
Ain't She Tweet	LT	I. Freleng	Sylvester , Tweety , Granny , Hector	1952-06-21	Yes
The Turn-Tale Wolf	MM	Robert McKimson	Big Bad Wolf	1952-06-28	No
Cracked Quack	MM	I. Freleng	Daffy Duck , Porky Pig	1952-07-05	Yes
Oily Hare	MM	Robert McKimson	Bugs Bunny	1952-07-26	No
Hoppy Go Lucky	LT	Robert McKimson	Hippety , Sylvester	1952-08-09	No
Going! Going! Gosh!	MM	Charles M. Jones	Wile E. and Road Runner	1952-08-23	No
A Bird In A Guilty Cage	LT	I. Freleng	Sylvester , Tweety	1952-08-30	Yes
Mouse Warming	LT	Charles M. Jones	Claude , Hector	1952-09-08	No
Rabbit Seasoning	MM	Charles M. Jones	Bugs Bunny , Daffy Duck , Elmer Fudd	1952-09-20	No
The Egg-Cited Rooster	MM	Robert McKimson	Foghorn , Henery Hawk	1952-10-04	No
Tree For Two	MM	I. Freleng	Spike & Chester , Sylvester	1952-10-18	No
The Super Snooper	LT	Robert McKimson	Daffy Duck	1952-11-01	No
Rabbit's Kin	MM	Robert McKimson	Bugs Bunny , Pete Puma	1952-11-15	No
Terrier Stricken	MM	Charles M. Jones	Claude , Frisky	1952-11-29	No
Fool Coverage	LT	Robert McKimson	Daffy Duck , Porky Pig	1952-12-13	Yes
Hare Lift	LT	I. Freleng	Bugs Bunny , Yosemite Sam	1952-12-20	No
