Order	Name	Seasons	Games	Goals
799	Maurice O'Keefe Category:Articles with hCards	1980	1	1
800	Zane Taylor Category:Articles with hCards	1980 – 1983	27	12
801	Stephen Lunn Category:Articles with hCards	1980 – 1982	48	37
802	Richard Murrie Category:Articles with hCards	1980 – 1982	35	3
803	Dale Smyth Category:Articles with hCards	1980 , 1982	7	1
804	Mark Yeates Category:Articles with hCards	1980 – 1986 , 1988 – 1990	154	57
805	Jan Smith Category:Articles with hCards	1980	2	0
806	Steve Reynoldson Category:Articles with hCards	1981 – 1986	84	70
807	Garry Sidebottom Category:Articles with hCards	1981	7	6
808	Ramsay Bogunovich Category:Articles with hCards	1981 – 1982	6	1
809	Alan Mangels Category:Articles with hCards	1981 – 1983	13	6
810	Phil Harrison Category:Articles with hCards	1981 – 1982	7	10
811	Bernard Toohey Category:Articles with hCards	1981 – 1985	94	35
812	Leo King Category:Articles with hCards	1981	4	8
813	Brian Peake Category:Articles with hCards	1981 – 1984	66	49
814	Darren Flanigan Category:Articles with hCards	1981 – 1991	130	50
815	Phillip Maddock Category:Articles with hCards	1982	3	1
816	Andrew Bews Category:Articles with hCards	1982 – 1993	207	132
817	Peter Zychla Category:Articles with hCards	1982 – 1983 , 1985	12	1
818	David O'Keeffe Category:Articles with hCards	1982 – 1986	50	22
819	Damian Drum Category:Articles with hCards	1982 – 1989	63	34
820	Stephen Nichols Category:Articles with hCards	1982 – 1983	7	6
821	Rod Waddell Category:Articles with hCards	1982 – 1984	20	10
822	Craig Cleave Category:Articles with hCards	1982 , 1984 – 1988	48	12
823	Tim Darcy Category:Articles with hCards	1982 – 1983 , 1986 – 1994	176	83
824	Karl Fedke Category:Articles with hCards	1982	2	0
825	Michael Kol Category:Articles with hCards	1983 – 1987 , 1989	63	42
826	Denis Lenaghan Category:Articles with hCards	1983 – 1984	16	19
827	Nigel Kol Category:Articles with hCards	1983	2	0
828	Alan Reid Category:Articles with hCards	1983	7	0
829	Damien Christensen Category:Articles with hCards	1983 – 1986	17	8
830	Damian Bourke Category:Articles with hCards	1983 – 1989 , 1991 – 1992	102	15
831	Ross Christensen Category:Articles with hCards	1983	2	3
832	Basil Flynn Category:Articles with hCards	1983 – 1984	6	1
833	Darren Troy Category:Articles with hCards	1983 , 1987 – 1990	46	6
834	Gary Ablett, Sr. Category:Articles with hCards	1984 – 1996	242	1021
835	David Bolton Category:Articles with hCards	1984 – 1985	28	11
836	Robb Hawkins Category:Articles with hCards	1984	3	0
837	Mark Jackson Category:Articles with hCards	1984 – 1986	31	115
838	Greg Williams Category:Articles with hCards	1984 – 1985	34	10
839	Ray Byrne Category:Articles with hCards	1984	17	0
840	Garry Johns Category:Articles with hCards	1984	2	0
841	Darren Jackson Category:Articles with hCards	1984	2	1
842	Ray Sarcevic Category:Articles with hCards	1984 – 1985	4	0
843	Darren Morgan Category:Articles with hCards	1984 – 1990	92	69
844	Ron Watt Category:Articles with hCards	1984	22	13
845	Michael Lenaghan Category:Articles with hCards	1984 – 1986	2	0
846	David Simpson Category:Articles with hCards	1984	3	0
847	Steven Hocking Category:Articles with hCards	1984 – 1994	199	10
848	Marty Christensen Category:Articles with hCards	1985 – 1988 , 1990 – 1991	69	18
849	Bruce Lindner Category:Articles with hCards	1985 – 1990	66	139
850	Kevin Ablett Category:Articles with hCards	1985	2	0
851	Paul Couch Category:Articles with hCards	1985 – 1997	259	203
852	Craig Alderdice Category:Articles with hCards	1985 , 1987 – 1988	25	19
853	Shane Williams Category:Articles with hCards	1985 – 1987	21	7
854	Michael Schulze Category:Articles with hCards	1985 – 1991	91	12
855	Gerard Toohey Category:Articles with hCards	1985	1	0
856	Russell Mitchell Category:Articles with hCards	1985 – 1986	2	0
857	John Hoiles Category:Articles with hCards	1985 – 1986	7	0
858	Scott Morphett Category:Articles with hCards	1985	1	1
859	Billy Brownless Category:Articles with hCards	1985 – 1997	198	441
860	Craig Evans Category:Articles with hCards	1986	9	6
861	David Cameron Category:Articles with hCards	1986 – 1990	41	71
862	Barry Stoneham Category:Articles with hCards	1986 – 2000	241	223
863	Stephen Carey Category:Articles with hCards	1986	7	0
864	Peter Whyte Category:Articles with hCards	1986 – 1988	22	3
865	Scott Hosking Category:Articles with hCards	1986	1	0
866	John Fitzgerald Category:Articles with hCards	1986 – 1987	8	5
867	Robert Scott Category:Articles with hCards	1986 – 1994	132	164
868	Mark Bairstow Category:Articles with hCards	1987 – 1994	146	172
869	Dwayne Russell Category:Articles with hCards	1987 – 1991	50	51
870	Gavin Exell Category:Articles with hCards	1987 – 1991	53	111
871	Garry Hocking Category:Articles with hCards	1987 – 2001	274	243
872	Gary Cameron Category:Articles with hCards	1987 – 1990	26	18
873	Peter Baldwin Category:Articles with hCards	1987 – 1990	5	1
874	Sean Denham Category:Articles with hCards	1987 – 1991	44	21
875	Austin McCrabb Category:Articles with hCards	1987 – 1991	36	4
876	Darren Denneman Category:Articles with hCards	1988	4	0
877	Shane Hamilton Category:Articles with hCards	1988 – 1990	27	40
878	Tim Bourke Category:Articles with hCards	1989 – 1990	5	0
879	Ken Hinkley Category:Articles with hCards	1989 – 1995	121	58
880	Ray Sterrett Category:Articles with hCards	1989 – 1991	20	7
881	Andrew Rogers Category:Articles with hCards	1989 – 1992	75	2
882	Spiro Malakellis Category:Articles with hCards	1989 – 1993	67	18
883	Adrian Fletcher Category:Articles with hCards	1989 – 1991	23	10
