No. in series	No. in season	Title	Directedby	Writtenby	Originalairdate	Production code	U.S. viewers (million)
54	1	" Sovereign "	Paris Barclay	Kurt Sutter	September11,2012	5WAB01	5.37
55	2	"Authority Vested"	Peter Weller	Regina Corrado	September18,2012	5WAB02	4.17
56	3	"Laying Pipe"	Adam Arkin	Kem Nunn & Liz Sagal & Kurt Sutter	September25,2012	5WAB03	3.80
57	4	"Stolen Huffy"	Paris Barclay	Chris Collins	October2,2012	5WAB04	4.60
58	5	"Orca Shrugged"	Gwyneth Horder-Payton	Regina Corrado & Kurt Sutter	October9,2012	5WAB05	4.34
59	6	"Small World"	Adam Arkin	Roberto Patino	October16,2012	5WAB06	4.03
60	7	"Toad's Wild Ride"	Peter Weller	Kurt Sutter & Chris Collins	October23,2012	5WAB07	4.30
61	8	"Ablation"	Karen Gaviola	Mike Daniels	October30,2012	5WAB08	4.58
62	9	"Andare Pescare"	Billy Gierhart	Liz Sagal & Kurt Sutter	November6,2012	5WAB09	3.96
63	10	"Crucifixed"	Guy Ferland	Kem Nunn	November13,2012	5WAB10	4.58
64	11	"To Thine Own Self"	Paris Barclay	Mike Daniels & John Barcheski & Kurt Sutter	November20,2012	5WAB11	4.23
65	12	"Darthy"	Peter Weller	Chris Collins & Kurt Sutter	November27,2012	5WAB12	4.25
