Place	Player	Country	Score	To par	Money ( $ )
T1	Lou Graham	United States	74-72-68-73=287	+3	Playoff
T1	John Mahaffey	United States	73-71-72-71=287	+3	Playoff
T3	Frank Beard	United States	74-69-67-78=288	+4	10,875
T3	Ben Crenshaw	United States	70-68-76-74=288	+4	10,875
T3	Hale Irwin	United States	74-71-73-70=288	+4	10,875
T3	Bob Murphy	United States	74-73-72-69=288	+4	10,875
T7	Jack Nicklaus	United States	72-70-75-72=289	+5	7,500
T7	Peter Oosterhuis	England	69-73-72-75=289	+5	7,500
T9	Pat Fitzsimons	United States	67-73-73-77=290	+6	5,000
T9	Arnold Palmer	United States	69-75-73-73=290	+6	5,000
T9	Tom Watson	United States	67-68-78-77=290	+6	5,000
