Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1975	Victor Yusim	No competition	Victor Yusim Michael Schneidman	No competition	No competition
1976	Michael Schneidman	Tineke Hof	Victor Yusim Michael Schneidman	Tineke Hof Devora Geffen	No competition
1977	Victor Yusim	Eva Unglick	Victor Yusim Michael Schneidman	Eva Unglick Chaya Grunstein	No competition
1978	Victor Yusim	Chaya Grunstein	Victor Yusim Michael Schneidman	Chaya Grunstein Carole Silman	Michael Rappaport Carole Silman
1979	Victor Yusim	Eva Unglick	Victor Yusim Michael Schneidman	Eva Unglick Chaya Grunstein	Nissim Duk Eva Unglick
1980	Yitzhak Serrouya	Elka Kalb	Nissim Duk Yitzhak Serrouya	Elka Kalb Irit Ben Shushan	Michael Rappaport Eva Unglick
1981	Johann Ratheyser	Adelhid Losek	Johann Rathyser Gerard Hofegger	Eva Unglick Irit Ben Shushan	Johann Ratheyser Adelheid Losek
1982	Andrew Downes	Lisa Salmon	David Spurling Stuart Spurling	Lisa Salmon J. Downes	David Spurling H. Blake
1983 1989	No competition	No competition	No competition	No competition	No competition
1990	Stephane Renault	Christelle Mol	Ricardo Fernandes Marco Vasconcelos	Christelle Mol Virginie Delvingt	Stephane Renault Elodie Mansuy
1991 1997	No competition	No competition	No competition	No competition	No competition
1998	Aivaras Kvedarauskas	Svetlana Zilberman	Aivaras Kvedarauskas Nir Yusim	Svetlana Zilberman Diana Koleva	Leon Pugatch Svetlana Zilberrman
1999 2005	No competition	No competition	No competition	No competition	No competition
2006	Petr Koukal	Maja Tvrdy	Luka Petric Mateuz Srekl	No competition	Luka Petric Maja Tvrdy
2007	Sho Sasaki	Tracey Hallam	Jochen Cassel Thomas Tesche	No competition	Valeriy Atrashenkov Elena Prus
