Country	Amateur Era	Open Era	All-time	First title	Last title
United States (USA)	17	24	41	1926	2013
Australia (AUS)	26	13	39	1935	2000
France (FRA)	20	2	22	1925	1984
Sweden (SWE)	1	6	7	1948	2006
Netherlands (NED)	0	6	6	1973	2002
India (IND)	0	5	5	1999	2009
South Africa (RSA)	2	2	4	1947	1972
Spain (ESP)	1	3	4	1963	1990
Belarus (BLR)	0	4	4	2005	2012
Canada (CAN)	0	4	4	2007	2012
Switzerland (SUI)	0	3	3	1981	1992
Russia (RUS)	0	3	3	1996	2002
Czech Republic (CZE)	0	3	3	1996	2009
Great Britain (GBR)	2	0	2	1933	1933
Germany (GER)	2	0	2	1937	1937
Czechoslovakia (TCH)	1	1	2	1948	1986
Italy (ITA)	2	0	2	1959	1959
Romania (ROU)	0	2	2	1970	1970
Mexico (MEX)	0	2	2	1975	1977
Belgium (BEL)	0	2	2	2004	2004
New Zealand (NZL)	0	1	1	1974	1974
Hungary (HUN)	0	1	1	1981	1981
Ecuador (ECU)	0	1	1	1988	1988
Zimbabwe (ZIM)	0	1	1	1994	1994
Bahamas (BAH)	0	1	1	2007	2007
Peru (PER)	0	1	1	2008	2008
Uruguay (URU)	0	1	1	2008	2008
Serbia (SRB)	0	1	1	2010	2010
