Name	Years	Gender	Area	Authority	Decile
Aberdeen School	1–6	Coed	Hamilton	State	6
Bankwood School	1–6	Coed	Fairfield	State	2
Berkley Normal Middle School	7–9	Coed	Hillcrest	State	9
Crawshaw School	1–8	Coed	Brymer	State	1
Deanwell School	1–6	Coed	Melville	State	4
Fairfield College	9–13	Coed	Fairfield	State	4
Fairfield Intermediate	7–8	Coed	Fairfield	State	5
Fairfield Primary School	1–6	Coed	Fairfield	State	1
Forest Lake School	1–6	Coed	Hamilton	State	3
Frankton School	1–6	Coed	Dinsdale	State	3
Fraser High School	9–13	Coed	Hamilton	State	4
Fraser High School TPU	–	–	Hamilton	State	1
Glenview School	1–6	Coed	Glenview	State	5
Hamilton Boys' High School	9–13	Boys	Hamilton	State	8
Hamilton Christian School	1–13	Coed	Hamilton	Private	9
Hamilton East School	1–6	Coed	Hamilton East	State	4
Hamilton Girls' High School	9–13	Girls	Hamilton	State	6
Hamilton Junior High School	7–10	Coed	Te Rapa	State	4
Hamilton North School	–	Coed	Te Rapa	State	3
Hamilton West School	1–8	Coed	Hamilton	State	6
Hillcrest High School	9–13	Coed	Hillcrest	State	8
Hillcrest Normal School	1–6	Coed	Hillcrest	State	9
Hukanui School	1–6	Coed	Chartwell	State	10
Insoll Avenue School	1–6	Coed	Hamilton	State	1
Knighton Normal School	1–6	Coed	Hamilton	State	5
Maeroa Intermediate	7–8	Coed	Hamilton	State	4
Marian Catholic School	1–8	Coed	Hamilton	State integrated	7
Melville High School	9–13	Coed	Glenview	State	4
Melville Intermediate	7–8	Coed	Melville	State	4
Melville Primary School	1–6	Coed	Melville	State	2
Nawton School	1–6	Coed	Hamilton	State	2
Nga Taiatea Wharekura	9–13	Coed	Rotokauri	State	3
Patricia Avenue School	–	Coed	Hamilton East	State	5
Peachgrove Intermediate	7–8	Coed	Hamilton	State	5
Pukete School	1–6	Coed	Hamilton	State	6
Rhode Street School	1–8	Coed	Dinsdale	State	3
Rototuna Primary School	1–6	Coed	Hamilton	State	10
Sacred Heart Girls College	9–13	Girls	Hamilton	State integrated	7
Silverdale Normal School	1–6	Coed	Hillcrest	State	7
Southwell School	1–8	Coed	Enderley	Private	10
St Columba's Catholic School	1–8	Coed	Frankton	State integrated	6
St John's College	9–13	Boys	Hillcrest	State integrated	7
St Joseph's Catholic School	1–8	Coed	Fairfield	State integrated	8
St Paul's Collegiate School	9–13	Boys/Coed	Chartwell	Private	10
St Peter Chanel Catholic School	1–8	Coed	Te Rapa	State integrated	8
St Pius X Catholic School	1–8	Coed	Melville	State integrated	4
Te Rapa School	1–8	Coed	Te Rapa	State	8
Te Totara Primary School	1–6	Coed	Rototuna North	State	10
TKKM o Te Ara Rima	1–8	Coed	Enderley	State	2
TKKM o Toku Mapihi Maurea	1–8	Coed	Hamilton East	State	5
Vardon School	1–6	Coed	Beerescourt	State	4
Waikato Diocesan School For Girls	9–13	Girls	Hamilton	State integrated	10
Waikato Waldorf School	1–8	Coed	Rototuna	State integrated	7
Whitiora School	1–8	Coed	Whitiora	State	3
Woodstock School	1–6	Coed	Hamilton	State	6
