Year	Movie	Record Held	Studio(s)	Nett Gross
1943	Kismet	6 years	Bombay Talkies	1,00,00,000
1949	Barsaat	2 years	R. K. Films	1,10,00,000
1951	Awaara	1-year	R.K. Films	1,25,00,000
1952	Aan	3 years	Mehboob Khan	1,50,00,000
1955	Shree 420	2 years	R.K. Films	2,00,00,000
1957	Mother India	3 years	Mehboob Khan	4,00,00,000
1960	Mughal-e-Azam	15 years	Sterling Investment	5,50,00,000
1975	Sholay	19 years	G. P. Sippy	15,00,00,000
1994	Hum Aapke Hain Koun..!	7 years	Rajshri Productions	69,75,00,000
2001	Gadar: Ek Prem Katha	5 years	Zee Telefilms	75,50,00,000
2006	Dhoom 2	2 years	Yash Raj Films	80,25,00,000
2008	Ghajini	1-year	Reliance Entertainment Geetha Arts	114,67,00,000
2009	3 Idiots	4-year	Vinod Chopra Productions	202,57,00,000
2013	Chennai Express	Current holder	Red Chillies Entertainment	226,70,90,000
