Rank	Heat	Athlete	Country	Time
1	8	Oludamola Osayomi	Nigeria	11.13
2	8	Debbie Ferguson	Bahamas	11.17
3	8	Daria Korczyńska	Poland	11.22
4	9	Evgeniya Polyakova	Russia	11.24
5	1	Torri Edwards	United States	11.26
6	10	Kerron Stewart	Jamaica	11.28
7	1	Jeanette Kwakye	Great Britain	11.30
7	4	Chandra Sturrup	Bahamas	11.30
9	10	Ezinne Okparaebo	Norway	11.32
10	5	Kim Gevaert	Belgium	11.33
10	7	Ivet Lalova	Bulgaria	11.33
10	3	Muna Lee	United States	11.33
13	6	Shelly-Ann Fraser	Jamaica	11.35
14	7	Montell Douglas	Great Britain	11.36
15	2	Christine Arron	France	11.37
16	2	Lauryn Williams	United States	11.38
17	4	Kelly Ann Baptiste	Trinidad and Tobago	11.39
17	8	Yomara Hinestroza	Colombia	11.39
19	5	Yuliya Nestsiarenka	Belarus	11.40
20	10	Laverne Jones-Ferrette	Virgin Islands	11.41
21	4	Lina Grincikaite	Lithuania	11.43
21	3	Anita Pistone	Italy	11.43
23	3	Guzel Khubbieva	Uzbekistan	11.44
24	7	Virgen Benavides	Cuba	11.45
25	9	Jade Bailey	Barbados	11.46
25	2	Tahesia Harrigan	British Virgin Islands	11.46
27	6	Vida Anim	Ghana	11.47
28	3	Virgil Hodge	Saint Kitts and Nevis	11.48
28	9	Sherone Simpson	Jamaica	11.48
30	10	Barbara Pierre	Haiti	11.52
31	4	Semoy Hackett	Trinidad and Tobago	11.53
32	10	Natalya Murinovich	Russia	11.55
32	8	Sasha Springer-Jones	Trinidad and Tobago	11.55
34	2	Lucimar de Moura	Brazil	11.60
34	9	Nataliya Pohrebnyak	Ukraine	11.60
36	7	Franca Idoko	Nigeria	11.61
36	3	Natalia Rusakova	Russia	11.61
38	6	Ruddy Zang Milama	Gabon	11.62
39	1	Myriam Leonie Mani	Cameroon	11.64
40	2	Sherry Fletcher	Grenada	11.65
40	6	Laura Turner	Great Britain	11.65
40	5	Thi Huong Vu	Vietnam	11.65
43	1	Inna Eftimova	Bulgaria	11.67
44	8	Mae Koime	Papua New Guinea	11.68
45	9	Tezdzhan Naimova	Bulgaria	11.70
46	5	Halimat Ismaila	Nigeria	11.72
47	5	Chisato Fukushima	Japan	11.74
48	4	Affoué Amandine Allou	Ivory Coast	11.75
49	7	Pia Tajnikar	Slovenia	11.82
49	9	Jutamass Thavoncharoen	Thailand	11.82
51	1	Wang Jing	China	11.87
52	7	Ahamada Feta	Comoros	11.88
53	4	Valentina Nazarova	Turkmenistan	11.94
54	5	Sonia Williams	Antigua and Barbuda	12.04
55	6	Nirinaharifidy Ramilijaona	Madagascar	12.07
56	6	Timicka Clarke	Bahamas	12.16
57	10	Charlene Attard	Malta	12.20
58	7	Fatou Tiyana	The Gambia	12.25
59	2	Dana Abdulrazak	Iraq	12.36
60	3	Kin Yee Wan	Hong Kong	12.37
61	2	Sadaf Siddiqui	Pakistan	12.41
62	7	Beauty Nazmun Nahar	Bangladesh	12.52
63	10	Michaela Kargbo	Sierra Leone	12.54
64	8	Hiniksia Albertine Ndikert	Chad	12.55
65	8	Franka Magali	DR Congo	12.57
66	10	Milena Milasevic	Montenegro	12.65
67	6	Montserrat Pujol	Andorra	12.73
68	1	Ani Khachikyan	Armenia	12.76
69	1	Ivana Rozhman	Macedonia	12.92
70	4	Titlinda Sou	Cambodia	12.98
71	3	Gharid Ghrouf	Palestine	13.07
72	6	Jessica Aguilera	Nicaragua	13.15
72	10	Chandra Kala Thapa	Nepal	13.15
74	1	Peoria Koshiba	Palau	13.18
75	6	Pauline Kwalea	Solomon Islands	13.28
76	5	Cora Alicto	Guam	13.31
76	3	Elis Lapenmal	Vanuatu	13.31
78	9	Waseelah Saad	Yemen	13.60
79	3	Bounkou Camara	Mauritania	13.69
80	9	Maria Ikelap	Federated States of Micronesia	13.73
81	9	Philaylack Sackpaseuth	Laos	13.86
82	1	Buthaina Al-Yaqoubi	Oman	13.90
83	2	Asenate Manoa	Tuvalu	14.05
84	4	Fathia Ali Bourrale	Djibouti	14.29
85	5	Robina Muqimyar	Afghanistan	14.80
