Place	Player	Country	Score	To par	Money ( £ )
1	Tiger Woods	United States	67-66-67-69=269	–19	500,000
T2	Thomas Bjørn	Denmark	69-69-68-71=277	–11	245,000
T2	Ernie Els	South Africa	66-72-70-69=277	–11	245,000
T4	Tom Lehman	United States	68-70-70-70=278	–10	130,000
T4	David Toms	United States	69-67-71-71=278	–10	130,000
6	Fred Couples	United States	70-68-72-69=279	–9	100,000
T7	Paul Azinger	United States	69-72-72-67=280	–8	66,250
T7	Darren Clarke	Northern Ireland	70-69-68-73=280	–8	66,250
T7	Pierre Fulke	Sweden	69-72-70-69=280	–8	66,250
T7	Loren Roberts	United States	69-68-70-73=280	–8	66,250
