Conference	# of Bids	Record	Win %	Round of 32	Elite Eight	Final Four	Championship Game
Southeastern	5	7–5	.583	4	2	1	–
Independent	3	7–3	.700	3	2	1	1
Western Collegiate	3	6–2	.750	2	1	1	1
Atlantic Coast	3	1–3	.250	1	–	–	–
Big Eight	2	1–2	.333	1	–	–	–
Southland	2	1–2	.333	–	–	–	–
Metro	2	0–2	–	–	–	–	–
Sun Belt	1	3–1	.750	1	1	1	–
Atlantic 10	1	2–1	.667	1	1	–	–
Southwest	1	2–1	.667	1	1	–	–
Big Ten	1	1–1	.500	1	–	–	–
Cosmopolitan	1	1–1	.500	–	–	–	–
Mid-Eastern	1	1–1	.500	–	–	–	–
Northern Pacific	1	1–1	.500	1	–	–	–
Ohio Valley	1	1–1	.500	–	–	–	–
