No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
219	1	"The One After Joey and Rachel Kiss"	Kevin S. Bright	Andrew Reich & Ted Cohen	September25,2003	176251
220	2	"The One Where Ross is Fine"	Ben Weiss	Sherry Bilsing-Graham & Ellen Plummer	October2,2003	176252
221	3	"The One with Ross's Tan"	Gary Halvorson	Brian Buckner	October9,2003	176253
222	4	"The One with the Cake"	Gary Halvorson	Robert Carlock	October23,2003	176254
223	5	"The One Where Rachel's Sister Babysits"	Roger Christiansen	Dana Klein Borkow	October30,2003	176255
224	6	"The One with Ross's Grant"	Ben Weiss	Sebastian Jones	November6,2003	176256
225	7	"The One with the Home Study"	Kevin S. Bright	Mark Kunerth	November13,2003	176257
226	8	"The One with the Late Thanksgiving"	Gary Halvorson	Shana Goldberg-Meehan	November20,2003	176259
227	9	"The One with the Birth Mother"	David Schwimmer	Scott Silveri	January8,2004	176258
228	10	"The One Where Chandler Gets Caught"	Gary Halvorson	Doty Abrams	January15,2004	176268
229	11	"The One Where the Stripper Cries"	Kevin S. Bright	David Crane & Marta Kauffman	February5,2004	176260
230	12	"The One with Phoebe's Wedding"	Kevin S. Bright	Robert Carlock & Dana Klein Borkow	February12,2004	176262
231	13	"The One Where Joey Speaks French"	Gary Halvorson	Sherry Bilsing-Graham & Ellen Plummer	February19,2004	176261
232	14	"The One with Princess Consuela"	Gary Halvorson	Story: Robert Carlock Teleplay: Tracy Reilly	February26,2004	176263
234	16	"The One with Rachel's Going Away Party"	Gary Halvorson	Andrew Reich & Ted Cohen	April29,2004	176265
