Place	Player	Country	Score	To par
1	José María Olazábal	Spain	70-66-73=209	–7
2	Greg Norman	Australia	71-68-71=210	–6
T3	Davis Love III	United States	69-72-70=211	–5
T3	Steve Pate	United States	71-75-65=211	–5
T5	Ernie Els	South Africa	71-72-69=212	–4
T5	Bob Estes	United States	71-72-69=212	–4
T5	Carlos Franco	Paraguay	72-72-68=212	–4
T5	Lee Janzen	United States	70-69-73=212	–4
T9	Steve Elkington	Australia	72-70-71=213	–3
T9	Scott McCarron	United States	69-68-76=213	–3
T9	Colin Montgomerie	Scotland	70-72-71=213	–3
T9	Nick Price	Zimbabwe	69-72-72=213	–3
