Driver	Team	Laps	Time/Retired	Grid
Mario Domínguez	Herdez Competition	40	2:00:06.524	18
Patrick Carpentier	Forsythe Racing	40	+2.2 secs	15
Paul Tracy	Team Green	40	+2.5 secs	5
Kenny Bräck	Chip Ganassi Racing	40	+2.7 secs	4
Tony Kanaan	Mo Nunn Racing	40	+4.8 secs	3
Alex Tagliani	Forsythe Racing	40	+7.8 secs	14
Dario Franchitti	Team Green	40	+9.9 secs	8
Cristiano da Matta	Newman-Haas Racing	40	+12.3 secs	1
Michael Andretti	Team Green	40	+13.5 secs	16
Michel Jourdain, Jr.	Team Rahal	40	+13.6 secs	12
Christian Fittipaldi	Newman-Haas Racing	40	+14.8 secs	13
Jimmy Vasser	Team Rahal	40	+16.2 secs	11
Shinji Nakano	Fernández Racing	40	+17.6 secs	7
Bruno Junqueira	Chip Ganassi Racing	40	+18.1 secs	2
Scott Dixon	Chip Ganassi Racing	24	Mechanical	6
Oriol Servià	Patrick Racing	11	Mechanical	9
Adrián Fernández	Fernández Racing	0	Contact	10
Tora Takagi	Walker Racing	0	Contact	17
