Game	December	Opponent	Score	Decision	Record
28	3	Pittsburgh Penguins	3 - 2 SO	Lundqvist	18-8-2
29	4	@ Montreal Canadiens	6 - 2	Lundqvist	18-9-2
30	7	Calgary Flames	3 - 0	Lundqvist	18-10-2
31	10	@ Atlanta Thrashers	3 - 2 OT	Valiquette	19-10-2
32	12	@ New Jersey Devils	8 - 5	Lundqvist	19-11-2
33	13	Carolina Hurricanes	3 - 2 SO	Lundqvist	20-11-2
34	16	@ Anaheim Ducks	3 - 1	Lundqvist	21-11-2
35	17	@ Los Angeles Kings	3 - 2 OT	Valiquette	22-11-2
36	20	@ San Jose Sharks	3 - 2	Lundqvist	22-12-2
37	23	Washington Capitals	5 - 4 OT	Lundqvist	22-12-3
38	27	New Jersey Devils	4 - 2	Lundqvist	22-13-3
39	29	New York Islanders	5 - 4	Lundqvist	23-13-3
