Frequency	Call sign	Format	Owner	Notes
FM 88.1	CFPP-FM	Christian radio	Fabrique Notre-Dame du Perpétuel-Secours	French
FM 88.3	CFAK-FM	campus radio	Université de Sherbrooke	French
FM 88.9	CJMQ-FM	community radio	Bishop's University	English
FM 89.7	CBM-FM-1	public music	Canadian Broadcasting Corporation	English
FM 90.7	CBFX-FM-2	public music	Société Radio-Canada	French
FM 91.7	CBMB-FM	public news / talk	Canadian Broadcasting Corporation	English
FM 93.7	CFGE-FM	adult contemporary	Cogeco	French
FM 95.5	CFLX-FM	community radio	Radio communautaire de l'Estrie	French
FM 100.3	CIRA-FM-1	Christian radio	Radio Ville-Marie	French
FM 101.1	CBF-FM-10	public news / talk	Société Radio-Canada	French
FM 102.7	CITE-FM-1	soft adult contemporary	Bell Media Radio	French
FM 106.1	CIMO-FM	contemporary hit radio	Bell Media Radio	French
FM 107.7	CKOY-FM	Talk radio	Cogeco	French
