Series Ep.	Episode	Segment A	Segment B	Segment C	Segment D
21-01	261	Rubber Gloves	Soap Carvings	Aircraft Cabinets	Motorcycle Brake Locks
21-02	262	Powder Horns	Handcrafted Moulds	Perogies	Inner Tubes
21-03	263	Lace	Antique Frame Replicas	Orchids	Unicycle Wheel Hubs
21-04	264	External Hard Drives	Frozen Shrimp	Thai Rice Boxes	Paper Towels
21-05	265	Tea	Roof Finials	Artificial Flowers	Alloy Wheels
21-06	266	Gel Caps	Playground Spring Riders	Frozen Pancakes	Natural Rubber
21-07	267	Paper Umbrellas	Coal	Aircraft Seats	s Cremation Urn
21-08	268	Aluminium s Canoe	Wooden Stave Bowls	Wheelchair Accessible Vans	s Marimba
21-09	269	Indy Car Seats	Paper Flowers	Standby Generators (Part 1)	Standby Generators (Part 2)
21-10	270	Customized Knee Replacements	Leaf Springs	Lavender Essential Oil	Rivets and Rivet Tools
21-11	271	Cast Iron Stoves	Ultralight Aircraft	Snow Groomers	Rubber Bands
21-12	272	Barber Chairs	Sewage Pumps	Bimini Boat Tops	Diesel Filters
21-13	273	Car Tires	Silk	Art Conservation	Scuba Tanks
