q > 1	q > 1.05	q > 1.1	q > 1.2	q > 1.3	q > 1.4
6	4	4	2	0	0
31	17	14	8	3	1
120	74	50	22	8	3
418	240	152	51	13	6
1,268	667	379	102	29	11
3,499	1,669	856	210	60	17
8,987	3,869	1,801	384	98	25
22,316	8,742	3,693	706	144	34
51,677	18,233	7,035	1,159	218	51
116,978	37,612	13,266	1,947	327	64
252,856	73,714	23,773	3,028	455	74
528,275	139,762	41,438	4,519	599	84
1,075,319	258,168	70,047	6,665	769	98
2,131,671	463,446	115,041	9,497	998	112
4,119,410	812,499	184,727	13,118	1,232	126
7,801,334	1,396,909	290,965	17,890	1,530	143
14,482,065	2,352,105	449,194	24,013	1,843	160
