Res.	Record	Opponent	Method	Event	Round
Loss	30–14–1	Justin Salas	Decision (split)	UFC on Fox: Johnson vs. Moraga	3
Loss	30–13–1	Tony Ferguson	TKO (corner stoppage)	UFC 135	1
Win	30–12–1	Joe Brammer	Decision (unanimous)	UFC 114	3
Loss	29–12–1	Ross Pearson	TKO (doctor stoppage)	UFC 105	2
Win	29–11–1	Shane Nelson	Decision (unanimous)	UFC 101	3
Loss	28–11–1	Shane Nelson	TKO (punch)	UFC 96	1
Win	28–10–1	Jorge Gurgel	Decision (unanimous)	UFC 91	3
Win	27–10–1	Steve Claveau	Decision (unanimous)	Xtreme MMA 5	3
Win	26–10–1	Thiago Minu	Decision (unanimous)	UWC: Invasion	3
Loss	25–10–1	Ryan Schultz	Decision (unanimous)	IFL: 2007 Team Championship Final	3
Loss	25–9–1	Eddie Alvarez	KO (punches)	Bodog Fight: USA vs Russia	1
Win	25–8–1	Darrell Smith	Submission (armbar)	Bodog Fight: To the Brink of War	2
Loss	25–8–1	Spencer Fisher	TKO (doctor stoppage)	UFC Fight Night 3	1
Win	24–7–1	Michihiro Omigawa	KO (head kick)	Pride Bushido 7	1
Win	23–7–1	Andrew Chappelle	Decision	HOOKnSHOOT: Arnold Classic	3
Win	22–7–1	Maicon Alarcao	TKO (injury)	AFC: Brazil 1	1
Win	21–7–1	Nuri Shakir	Decision (unanimous)	HOOKnSHOOT: Live	3
Loss	20–7–1	Sam Morgan	Submission (armbar)	Shooto USA – Warrior Spirit: Evolution	1
Win	20–6–1	Cedric Marks	Submission (armbar)	Combate Extremo	1
Win	19–6–1	Nick Gilardi	TKO	PPKA: Ultimate Fight Night	2
Loss	18–6–1	Chris Lytle	KO	HOOKnSHOOT: Boot Camp 1.1	1
Win	18–5–1	Alexandre Barros	Decision	HOOKnSHOOT: Absolute Fighting Championships 1	3
Loss	17–5–1	Robbie Lawler	Decision (unanimous)	UFC 37	3
Win	17–4–1	Mike Willus	TKO (strikes)	HOOKnSHOOT: Kings 1	1
Loss	16–4–1	Yves Edwards	Decision	HOOKnSHOOT: Showdown	3
Win	16–3–1	Earl Thompson	Submission (armbar)	UFCF: War 2001	1
Win	15–3–1	Steve Berger	Decision	HOOKnSHOOT: Triumph	3
Win	14–3–1	Aaron Stregles	Submission (strikes)	Talon Challenge 2	N/A
Win	13–3–1	Jeremy Bennett	KO	HOOKnSHOOT: Double Fury 1	N/A
Win	12–3–1	Colin O'Rourke	Decision (majority)	WEF 8: Goin' Platinum	3
Loss	11–3–1	Falaniko Vitale	TKO	RITC 2: Marching of the Warriors	1
Loss	11–2–1	Yves Edwards	Decision	HOOKnSHOOT: Texas Heat	1
Win	11–1–1	Joe Merit	Submission (armbar)	Lionheart Invitational	1
Draw	10–1–1	CJ Fernandes	Draw	Submission Fighting Championships 8	1
Win	10–1	Billy Johnson	Submission (strikes)	HOOKnSHOOT: Breakout	1
Win	9–1	Rob Tallack	TKO	Kakidamisi 1: Samurai Challenge	1
Win	8–1	Tony Apponte	Submission (strikes)	Extreme Shootout	1
Win	7–1	James Julian	Submission (armbar)	Submission Fighting Championships 6	1
Win	6–1	Shane Garrett	Decision (unanimous)	HOOKnSHOOT: Horizon	1
Win	5–1	Phil Stroffolino	Submission (strikes)	HOOKnSHOOT: Eruption	1
Win	4–1	Brian Boclair	Submission (armbar)	HOOKnSHOOT: Quest	1
Win	3–1	Chris Mounce	Submission (keylock)	HOOKnSHOOT: N-Vision	N/A
Win	2–1	Billy Johnson	Submission (armbar)	HOOKnSHOOT: Elite	1
Loss	1–1	Mario Roberto	Submission (kneebar)	HOOKnSHOOT: When Worlds Collide	N/A
Win	1–0	Chris Malgieri	Submission (heel hook)	HOOKnSHOOT: When Worlds Collide	N/A
