Circuit	Location	Date	Series	Winning driver	Winning team
Circuit de Catalunya	Montmeló , Spain	18 April	FR3.5 1	Marcos Martínez	Pons Racing
Circuit de Catalunya	Montmeló , Spain	18 April	FR2.0 1	Nathanaël Berthon	Epsilon Euskadi
Circuit de Catalunya	Montmeló , Spain	18 April	EMT 1	Jonathan Hirschi	TDS Racing
Circuit de Catalunya	Montmeló , Spain	19 April	FR2.0 2	Albert Costa	Epsilon Euskadi
Circuit de Catalunya	Montmeló , Spain	19 April	FR3.5 2	Marcos Martínez	Pons Racing
Circuit de Catalunya	Montmeló , Spain	19 April	EMT 2	Mike Verschuur	McGregor by Equipe Verschuur
Circuit de Spa-Francorchamps	Spa , Belgium	2 May	FR2.0 3	Albert Costa	Epsilon Euskadi
Circuit de Spa-Francorchamps	Spa , Belgium	2 May	FR3.5 3	Marcos Martínez	Pons Racing
Circuit de Spa-Francorchamps	Spa , Belgium	2 May	EMT 3	Jonathan Hirschi	TDS Racing
Circuit de Spa-Francorchamps	Spa , Belgium	3 May	FR2.0 4	Albert Costa	Epsilon Euskadi
Circuit de Spa-Francorchamps	Spa , Belgium	3 May	EMT 4	Jonathan Hirschi	TDS Racing
Circuit de Spa-Francorchamps	Spa , Belgium	3 May	FR3.5 4	James Walker	P1 Motorsport
Circuit de Monaco	Monte Carlo , Monaco	24 May	FR3.5 5	Oliver Turvey	Carlin Motorsport
Hungaroring	Mogyoród , Hungary	13 June	FR3.5 6	Fairuz Fauzy	Mofaz Fortec Motorsport
Hungaroring	Mogyoród , Hungary	13 June	FR2.0 5	Jean-Éric Vergne	SG Formula
Hungaroring	Mogyoród , Hungary	13 June	EMT 5	Dimitri Enjalbert	Boutsen Energy Racing
Hungaroring	Mogyoród , Hungary	14 June	FR3.5 7	Pasquale Di Sabatino	RC Motorsport
Hungaroring	Mogyoród , Hungary	14 June	FR2.0 6	Adrian Quaife-Hobbs	Motopark Academy
Hungaroring	Mogyoród , Hungary	14 June	EMT 6	Dimitri Enjalbert	Boutsen Energy Racing
Silverstone Circuit	Silverstone , United Kingdom	4 July	FR3.5 8	Marcos Martínez	Pons Racing
Silverstone Circuit	Silverstone , United Kingdom	4 July	EMT 7	Dimitri Enjalbert	Boutsen Energy Racing
Silverstone Circuit	Silverstone , United Kingdom	4 July	FR2.0 7	António Félix da Costa	Motopark Academy
Silverstone Circuit	Silverstone , United Kingdom	5 July	FR2.0 8	Jean-Éric Vergne	SG Formula
Silverstone Circuit	Silverstone , United Kingdom	5 July	FR3.5 9	Charles Pic	Tech 1 Racing
Silverstone Circuit	Silverstone , United Kingdom	5 July	EMT 8	Dimitri Enjalbert	Boutsen Energy Racing
Bugatti Circuit	Le Mans , France	18 July	FR2.0 9	Jean-Éric Vergne	SG Formula
Bugatti Circuit	Le Mans , France	18 July	FR3.5 10	Bertrand Baguette	International DracoRacing
Bugatti Circuit	Le Mans , France	18 July	EMT 9	Jonathan Hirschi	TDS Racing
Bugatti Circuit	Le Mans , France	19 July	FR2.0 10	Jean-Éric Vergne	SG Formula
Bugatti Circuit	Le Mans , France	19 July	EMT 10	Dimitri Enjalbert	Boutsen Energy Racing
Bugatti Circuit	Le Mans , France	19 July	FR3.5 11	Bertrand Baguette	International DracoRacing
Autódromo Internacional do Algarve	Portimão , Portugal	1 August	FR3.5 12	Jon Lancaster	Comtec Racing
Autódromo Internacional do Algarve	Portimão , Portugal	1 August	FR3.5 13	Jaime Alguersuari	Carlin Motorsport
Nürburgring	Nürburg , Germany	19 September	FR3.5 14	Bertrand Baguette	International DracoRacing
Nürburgring	Nürburg , Germany	19 September	FR2.0 11	Albert Costa	Epsilon Euskadi
Nürburgring	Nürburg , Germany	19 September	EMT 11	Dimitri Enjalbert	Boutsen Energy Racing
Nürburgring	Nürburg , Germany	20 September	FR2.0 12	Albert Costa	Epsilon Euskadi
Nürburgring	Nürburg , Germany	20 September	FR3.5 15	Charles Pic	Tech 1 Racing
Nürburgring	Nürburg , Germany	20 September	EMT 12	Dimitri Enjalbert	Boutsen Energy Racing
Ciudad del Motor de Aragón	Alcañiz , Spain	24 October	FR2.0 13	António Félix da Costa	Motopark Academy
Ciudad del Motor de Aragón	Alcañiz , Spain	24 October	FR3.5 16	Bertrand Baguette	International DracoRacing
Ciudad del Motor de Aragón	Alcañiz , Spain	24 October	EMT 13	Mike Verschuur	McGregor by Equipe Verschuur
Ciudad del Motor de Aragón	Alcañiz , Spain	25 October	FR2.0 14	António Félix da Costa	Motopark Academy
Ciudad del Motor de Aragón	Alcañiz , Spain	25 October	FR3.5 17	Bertrand Baguette	International DracoRacing
