Date	Opponent	Location	Result	Attendance
09/06/1975	SMU	Groves Stadium • Winston-Salem, NC	L 7-14	13,400
09/13/1975*	at #15 North Carolina State	Carter Stadium • Raleigh, NC	W 30-22	36,500
09/20/1975	Appalachian State	Groves Stadium • Winston-Salem, NC	L 17-19	24,300
09/27/1975	Kansas State	Groves Stadium • Winston-Salem, NC	L 16-17	17,700
10/11/1975*	at Clemson	Memorial Stadium • Clemson, SC	L 14-16	45,000
10/18/1975*	#19 Maryland	Groves Stadium • Winston-Salem, NC	L 0-27	19,300
10/25/1975*	at Virginia	Scott Stadium • Charlottesville, VA	W 66-21	20,171
11/01/1975*	at North Carolina	Kenan Memorial Stadium • Chapel Hill, NC	W 21-9	43,000
11/08/1975*	Duke	Groves Stadium • Winston-Salem, NC	L 14-42	28,900
11/15/1975	at South Carolina	Williams-Brice Stadium • Columbia, SC	L 26-37	37,656
11/22/1975	at Virginia Tech	Lane Stadium • Blacksburg, VA	L 10-40	29,000
