Position	Jersey #	Name	Height (cm)	Weight (kg)	Birthdate	Birthplace	1999–2000 Team	NHL Rights
G	29	Rick DiPietro	185	95	September 19, 1981	Winthrop, Massachusetts	Boston University ( ECAC )	New York Islanders
G	30	Philippe Sauve	183	79	February 27, 1980	Buffalo, New York	Hull Olympiques ( QMJHL )	Colorado Avalanche
D	5	Patrick Aufiero	188	93	July 1, 1980	Winchester, Massachusetts	Boston University ( ECAC )	New York Rangers
D	2	Ron Hainsey	191	95	March 24, 1981	Bolton, Connecticut	University of Massachusetts Lowell ( HE )	Montreal Canadiens
D	22	Doug Janik	188	95	March 26, 1980	Agawam, Massachusetts	University of Maine ( HE )	Buffalo Sabres
D	6	Jeff Jillson	191	102	July 24, 1980	North Smithfield, Rhode Island	University of Michigan ( ECAC )	San Jose Sharks
D	4	Jordan Leopold	185	91	August 3, 1980	Golden Valley, Minnesota	University of Minnesota ( WCHA )	Mighty Ducks of Anaheim
D	3	Brooks Orpik	188	99	September, 26 1980	San Francisco, California	Boston College ( HE )	Pittsburgh Penguins
D	10	Mike Stuart	183	91	August 31, 1980	Rochester, Minnesota	Colorado College ( WCHA )	Nashville Predators
F	15	Dan Cavanaugh	188	88	March 3, 1980	Springfield, Massachusetts	Boston University ( ECAC )	Calgary Flames
F	9	Connor Dunlop	178	84	January 5, 1981	St. Louis, Missouri	Notre Dame ( CCHA )	Undrafted
F	25	Patrick Foley	185	100	January 24, 1981	Milton, Massachusetts	University of New Hampshire ( HE )	Pittsburgh Penguins
F	18	Adam Hall	191	94	August 14, 1980	Kalamazoo, Michigan	Michigan State University ( CCHA )	Nashville Predators
F	27	Barrett Heisten	185	88	March 19, 1980	Anchorage, Alaska	University of Maine ( HE )	Buffalo Sabres
F	11	Brett Henning	185	91	May 7, 1980	Huntington, New York	Notre Dame ( CCHA )	New York Islanders
F	19	Andy Hilbert	180	88	February 6, 1981	Howell, Michigan	University of Michigan ( ECAC )	Boston Bruins
F	21	David Inman	185	84	June 13, 1980	New York	Notre Dame ( CCHA )	New York Rangers
F	7	Willie Levesque	183	82	January 22, 1980	Oak Bluffs, Massachusetts	Northeastern University ( HE )	San Jose Sharks
F	26	Brett Nowak	188	89	May 20, 1981	New Haven, Connecticut	Harvard University ( ECAC )	Boston Bruins
F	16	John Sabo	173	75	September 4, 1981	Harding Township, New Jersey	Boston University ( ECAC )	Undrafted
F	23	Jeff Taffe	191	94	February 19, 1981	Hastings, Minnesota	University of Minnesota ( WCHA )	St. Louis Blues
F	8	Brad Winchester	196	103	March 1, 1981	Madison, Wisconsin	University of Wisconsin ( WCHA )	Edmonton Oilers
