Sport	Competition name	Competing entities	Age groups	Held every
Aquatics	FINA World Junior Swimming Championships	Individuals [R ]	17 or younger	Two years
Athletics	IAAF World Junior Championships in Athletics	Individuals [R ]	18-19	Two years
Athletics	IAAF World Youth Championships in Athletics	Individuals [R ]	17 or younger	Two years
Badminton	BWF World Junior Championships	Individuals [D ]	19 or younger	One year
Bandy	Bandy World Championship U-23	Nations	Under-23	Two years
Bandy	Bandy World Championship U-19	Nations	Under-19	Two years
Bandy	Bandy World Championship U-17	Nations	Under-17	Two years
Bandy	Bandy World Championship U-15	Nations	Under-15	Two years
Baseball	World Junior Baseball Championship	Nations	Under-18	One year through 2000, now two years
Baseball	World Youth Baseball Championship	Nations	Under-16	One year through 1998, two years starting in 2001
Baseball	Big League World Series	Communities	16-18	One year
Baseball	Senior League World Series	Communities	14-16	One year
Baseball	Junior League World Series	Communities	13-15	One year
Baseball	Little League World Series	Communities	13 or younger	One year
Basketball	FIBA Under-21 World Championship	Nations	21 or younger	Four years until 2005
Basketball	FIBA Under-19 World Championship	Nations	19 or younger	Four years until 2007, now two years
Basketball	FIBA Under-17 World Championship	Nations	17 or younger	Two years
Basketball	FIBA 3x3 U-18 World Championships	Nations	18 or younger	Year
Cricket	U-19 Cricket World Cup	Nations	19 or younger	Two years
Figure skating	World Junior Figure Skating Championships	Individuals	13-19	One year
Football (soccer)	FIFA U-20 World Cup	Nations	20 or younger	Two years
Football (soccer)	FIFA U-17 World Cup	Nations	17 or younger	Two years
Ice hockey	IIHF World U20 Championship	Nations	20 or younger	Year
Ice hockey	IIHF World U18 Championships	Nations	18 or younger	Year
Lacrosse	Under-19 World Lacrosse Championships	Nations	19 or younger	Four years
Rowing	Junior World Rowing Championships	Nations	18 or younger	Year
Rugby union	IRB Junior World Championship	Nations	20 or younger	Year
Rugby union	Under 19 Rugby World Championship	Nations	19 or younger	Year
Rugby union	Under 21 Rugby World Championship	Nations	21 or younger	Year
Speed skating	World Junior Speed Skating Championships	Individuals and Nations	19 or younger	One year
Speed skating	ISU Junior World Cup Speed Skating	Individuals and Nations	19 or younger	One year
Sailing	ISAF Youth Sailing World Championships	Nations	Under 19's	annually
Sailing	ISAF Classes World Championship	Held in the Optimist, Splash, Zoom, RS Tera etc.	19 or younger	Various
Table tennis	World Junior Table Tennis Championships	Individuals [D ] and Nations	18 or younger	One year
Volleyball	Men's Junior Volleyball World Championship	Nations	21 or younger	Two years
Volleyball	Boys Youth Volleyball World Championship	Nations	19 or younger	Two years
