Institution	Location	Founded	Type	Enrollment	Joined	Nickname	US News Ranking 2014 for Liberal Arts	Football?
Bryn Mawr College 1	Bryn Mawr, Pennsylvania	1885	Private	1890	1992	Owls	30	No
Dickinson College	Carlisle, Pennsylvania	1783	Private	2381	1981	Red Devils	45	Yes
Franklin & Marshall College	Lancaster, Pennsylvania	1787	Private	2104	1981	Diplomats	45	Yes
Gettysburg College	Gettysburg, Pennsylvania	1832	Private/Lutheran	2600	1981	Bullets	50	Yes
Haverford College	Haverford, Pennsylvania	1833	Private	1169	1992	Fords	9	No
Johns Hopkins University 2	Baltimore, Maryland	1876	Private	4478	1981	Blue Jays	12 (National Universities)	Yes
McDaniel College	Westminster, Maryland	1867	Private	1635	1981	Green Terror	126	Yes
Muhlenberg College	Allentown, Pennsylvania	1848	Private/Lutheran	2483	1981	Mules	65	Yes
Swarthmore College	Swarthmore, Pennsylvania	1864	Private	1525	1981	Garnet	3	No
Ursinus College	Collegeville, Pennsylvania	1869	Private	1583	1981	Bears	82	Yes
