No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
125	1	"Denise: The Saga Continues"	Tony Singletary	Carmen Finestra & Gary Kott & John Markus	September 21, 1989	601
126	2	"Surf's Up"	Tony Singletary	Carmen Finestra & Gary Kott & John Markus	September 28, 1989	602
127	3	"I'm 'In' With the 'In' Crowd"	Tony Singletary	Carmen Finestra, Gary Kott & John Markus	October 5, 1989	603
128	4	"Denise Kendall: Navy Wife"	Tony Singletary	Carmen Finestra & Gary Kott & John Markus	October 12, 1989	605
129	5	"Theo's Gift"	Jay Sandrich	Mark St. Germain	October 19, 1989	604
130	6	"Denise Kendall: Babysitter"	Tony Singletary	Carmen Finestra & Gary Kott & John Markus	October 26, 1989	606
131	7	"Shall We Dance?"	Jay Sandrich	Carmen Finestra & Gary Kott & John Markus	November 2, 1989	607
132	8	"The Day the Spores Landed"	Neema Barnette	Carmen Finestra & Gary Kott & John Markus	November 9, 1989	608
133	9	"Cliff's Wet Adventure"	Jay Sandrich	Carmen Finestra & John Markus	November 16, 1989	610
134	10	"Grampy and Nu-Nu Visit the Huxtables"	Tony Singletary	Gary Kott & John Markus	November 30, 1989	609
135	11	"Cliff la Douce"	Jay Sandrich	Carmen Finestra & Gary Kott	December 7, 1989	611
136	12	"Getting to Know You"	Tony Singletary	Carmen Finestra & Gary Kott & John Markus	December 14, 1989	612
137	13	"Elvin Pays for Dinner"	Jay Sandrich	Gary Kott & John Markus	January 4, 1990	613
139	15	"Denise Kendall: Singles Counselor"	Tony Singletary	Carmen Finestra & John Markus	January 18, 1990	614
140	16	"The Birthday Party"	Tony Singletary	Carmen Finestra & Gary Kott & John Markus	January 25, 1990	615
141	17	"Not Everybody Loves the Blues"	Chuck Vinson	Mark St. Germain	February 1, 1990	616
142	18	"Rudy's Walk on the Wild Side"	Jay Sandrich	Lore Kimbrough & Ehrich Van Lowe	February 8, 1990	617
143	19	"The Cosby Outtakes Show"	Chuck Vinson	Carmen Finestra & Gary Kott & John Markus	February 12, 1990	618
144	20	"Mr. Sandman"	Tony Singletary	Carmen Finestra & Gary Kott & John Markus	February 15, 1990	619
145	21	"Isn't It Romantic?"	Tony Singletary	Carmen Finestra & Gary Kott & John Markus	February 22, 1990	620
146	22	"Theo's Dirty Laundry"	Jay Sandrich	Carmen Finestra & Gary Kott & John Markus	March 15, 1990	621
147	23	"What's It All About?"	Jay Sandrich	Carmen Finestra & John Markus	March 22, 1990	622
148	24	"Off to See the Wretched"	Carl Lauten & Malcolm-Jamal Warner	Mark St. Germain	April 5, 1990	623
149	25	"The Moves"	Tony Singletary	Mark St. Germain	April 19, 1990	624
150	26	"Live and Learn"	Tony Singletary	Matt Robinson	April 26, 1990	625
